cr_year,jn_all,cc,cc_total,prop
2017,71065,CC BY,1939,0.02728488003940055
2017,71065,CC BY-SA,0,0
2017,71065,CC BY-NC,210,0.0029550411595018647
2017,71065,CC BY-NC-SA,48,6.754379793147119e-4
2017,71065,CC BY-ND,0,0
2017,71065,CC BY-NC-ND,1060,0.014915922043199888
2018,71611,CC BY,2729,0.03810867045565625
2018,71611,CC BY-SA,1,1.3964335088184777e-5
2018,71611,CC BY-NC,446,0.00622809344933041
2018,71611,CC BY-NC-SA,13,1.815363561464021e-4
2018,71611,CC BY-ND,0,0
2018,71611,CC BY-NC-ND,1271,0.01774866989708285
2019,69035,CC BY,5570,0.08068371116100528
2019,69035,CC BY-SA,1,1.4485405953501847e-5
2019,69035,CC BY-NC,1225,0.017744622293039764
2019,69035,CC BY-NC-SA,7,1.0139784167451293e-4
2019,69035,CC BY-ND,2,2.8970811907003694e-5
2019,69035,CC BY-NC-ND,2135,0.030926341710726443
2020,71414,CC BY,16568,0.23199932786288402
2020,71414,CC BY-SA,1,1.400285658274288e-5
2020,71414,CC BY-NC,2519,0.035273195731929316
2020,71414,CC BY-NC-SA,23,3.2206570140308623e-4
2020,71414,CC BY-ND,5,7.00142829137144e-5
2020,71414,CC BY-NC-ND,3729,0.0522166521970482
2021,71875,CC BY,19691,0.27396173913043476
2021,71875,CC BY-SA,1,1.391304347826087e-5
2021,71875,CC BY-NC,3245,0.04514782608695652
2021,71875,CC BY-NC-SA,16,2.2260869565217392e-4
2021,71875,CC BY-ND,4,5.565217391304348e-5
2021,71875,CC BY-NC-ND,6264,0.08715130434782609
2022,63444,CC BY,19769,0.31159762940545993
2022,63444,CC BY-SA,6,9.457159069415548e-5
2022,63444,CC BY-NC,2915,0.0459460311455772
2022,63444,CC BY-NC-SA,21,3.310005674295442e-4
2022,63444,CC BY-ND,2,3.152386356471849e-5
2022,63444,CC BY-NC-ND,5425,0.08550847991929891
2023,61058,CC BY,20393,0.3339939074322775
2023,61058,CC BY-SA,6,9.826722133053818e-5
2023,61058,CC BY-NC,3016,0.04939565658881719
2023,61058,CC BY-NC-SA,19,3.111795342133709e-4
2023,61058,CC BY-ND,15,2.4566805332634545e-4
2023,61058,CC BY-NC-ND,5477,0.0897015952045596
2024,15152,CC BY,5561,0.3670142555438226
2024,15152,CC BY-SA,2,1.3199577613516366e-4
2024,15152,CC BY-NC,893,0.058936114044350583
2024,15152,CC BY-NC-SA,3,1.9799366420274552e-4
2024,15152,CC BY-ND,2,1.3199577613516366e-4
2024,15152,CC BY-NC-ND,1571,0.10368268215417106
