cr_year,cc,cc_total,jn_all,prop
2017,CC BY,32546,1636126,0.019892110998786156
2017,CC BY-SA,1,1636126,6.111998709145872e-7
2017,CC BY-NC,3349,1636126,0.0020469083676929525
2017,CC BY-NC-SA,676,1636126,4.13171112738261e-4
2017,CC BY-ND,7,1636126,4.278399096402111e-6
2017,CC BY-NC-ND,15037,1636126,0.009190612458942649
2018,CC BY,42639,1680367,0.025374813954332595
2018,CC BY-SA,4,1680367,2.3804323698334945e-6
2018,CC BY-NC,5649,1680367,0.003361765614297353
2018,CC BY-NC-SA,192,1680367,1.1426075375200774e-4
2018,CC BY-ND,2,1680367,1.1902161849167473e-6
2018,CC BY-NC-ND,17560,1680367,0.010450098103569042
2019,CC BY,53028,1719541,0.030838462124485547
2019,CC BY-SA,22,1719541,1.2794111917075545e-5
2019,CC BY-NC,8832,1719541,0.0051362543841641465
2019,CC BY-NC-SA,101,1719541,5.8736604710210455e-5
2019,CC BY-ND,11,1719541,6.3970559585377726e-6
2019,CC BY-NC-ND,24513,1719541,0.014255548428330584
2020,CC BY,92374,1818671,0.05079203440314384
2020,CC BY-SA,27,1818671,1.4846005682171212e-5
2020,CC BY-NC,15140,1818671,0.008324760223261932
2020,CC BY-NC-SA,154,1818671,8.467721759460617e-5
2020,CC BY-ND,14,1818671,7.697928872236925e-6
2020,CC BY-NC-ND,32823,1818671,0.01804779424095947
2021,CC BY,127653,1861244,0.06858477448416221
2021,CC BY-SA,1,1861244,5.372750697920316e-7
2021,CC BY-NC,19042,1861244,0.010230791878979866
2021,CC BY-NC-SA,223,1861244,1.1981234056362304e-4
2021,CC BY-ND,11,1861244,5.910025767712347e-6
2021,CC BY-NC-ND,54294,1861244,0.02917081263928856
2022,CC BY,157104,1822814,0.08618761980103291
2022,CC BY-SA,44,1822814,2.413850233759451e-5
2022,CC BY-NC,24190,1822814,0.013270690262418436
2022,CC BY-NC-SA,343,1822814,1.881705977680663e-4
2022,CC BY-ND,13,1822814,7.131830236107469e-6
2022,CC BY-NC-ND,67730,1822814,0.03715683553011991
2023,CC BY,200626,1824048,0.1099894301027166
2023,CC BY-SA,163,1824048,8.936168346447023e-5
2023,CC BY-NC,30730,1824048,0.016847144373393682
2023,CC BY-NC-SA,337,1824048,1.8475390998482497e-4
2023,CC BY-ND,67,1824048,3.673148952220556e-5
2023,CC BY-NC-ND,76979,1824048,0.04220228853626659
2024,CC BY,49486,451592,0.10958121490194689
2024,CC BY-SA,38,451592,8.41467519353753e-5
2024,CC BY-NC,7292,451592,0.016147318818756754
2024,CC BY-NC-SA,49,451592,1.0850502223245762e-4
2024,CC BY-ND,5,451592,1.1071941044128328e-5
2024,CC BY-NC-ND,19111,451592,0.042319173058867295
