country_name_fct,cr_year,articles,cc_total,prop
China,'17,211856,2204,0.01040329280265841
China,'18,250126,3607,0.014420731951096647
China,'19,286874,5449,0.018994401723404702
China,'20,316111,7657,0.02422250412038809
China,'21,344767,9891,0.028688940646871657
China,'22,397566,13902,0.034967778934818367
China,'23,432096,17292,0.040018884692290604
China,'24,461248,23255,0.0504175627861801
China,'25,270658,16902,0.06244781236837633
United States,'17,333865,7397,0.022155661719557306
United States,'18,333374,9794,0.02937841583326834
United States,'19,330994,11822,0.035716659516486705
United States,'20,345918,16391,0.047384062118768035
United States,'21,327836,23702,0.07229834429409827
United States,'22,302662,32856,0.10855673986162782
United States,'23,287926,41387,0.1437417947667109
United States,'24,271093,51499,0.18996801835532456
United States,'25,196945,40477,0.20552438498057835
United Kingdom,'17,89019,12662,0.1422392972286815
United Kingdom,'18,87906,14076,0.16012558869701726
United Kingdom,'19,87777,14138,0.16106724996297436
United Kingdom,'20,90178,21857,0.24237618931446694
United Kingdom,'21,87124,29116,0.3341903493870805
United Kingdom,'22,76937,35181,0.4572702340876301
United Kingdom,'23,72515,39288,0.5417913535130663
United Kingdom,'24,68491,39863,0.5820180753675666
United Kingdom,'25,44247,23843,0.5388613917327728
India,'17,55230,454,0.008220170197356508
India,'18,61447,575,0.00935765781893339
India,'19,65415,786,0.012015592753955515
India,'20,78081,1189,0.015227776283602926
India,'21,90136,1476,0.016375255169965387
India,'22,94604,1809,0.019121813031161474
India,'23,97871,2165,0.022120955134820326
India,'24,96319,3208,0.0333059936253491
India,'25,49689,2255,0.04538227776771519
Germany,'17,71980,3284,0.045623784384551266
Germany,'18,74405,5427,0.0729386465963309
Germany,'19,72617,9793,0.13485822878940193
Germany,'20,74222,23478,0.31632130635121664
Germany,'21,73796,29623,0.4014174209984281
Germany,'22,67220,28818,0.42871169294852723
Germany,'23,65474,29333,0.4480098970583743
Germany,'24,61285,34242,0.5587337847760463
Germany,'25,36395,21281,0.5847231762604753
Japan,'17,53854,1827,0.03392505663460467
Japan,'18,52010,2534,0.04872139973082099
Japan,'19,50150,3048,0.06077766699900299
Japan,'20,52596,4265,0.08108981671610008
Japan,'21,51010,6089,0.11936875122524995
Japan,'22,46962,6457,0.13749414420169498
