cat,type,esac_publisher,name,value,prop
de,Elsevier,Elsevier,Total Articles,113373,0.21655782076432173
de,Elsevier,Elsevier,Open Access Articles with Creative Commons License,17982,0.12152463337162939
de,Springer Nature,Springer Nature,Total Articles,121339,0.23177396217549182
de,Springer Nature,Springer Nature,Open Access Articles with Creative Commons License,48331,0.32662701899033586
de,Wiley,Wiley,Total Articles,78725,0.15037543718232055
de,Wiley,Wiley,Open Access Articles with Creative Commons License,42928,0.2901128607150098
de,Top 4-13,Taylor and Francis,Total Articles,21358,0.04079667942000638
de,Top 4-13,Taylor and Francis,Open Access Articles with Creative Commons License,3720,0.025140231127931338
de,Top 4-13,Wolters Kluwer Health,Total Articles,9810,0.018738431740343786
de,Top 4-13,Wolters Kluwer Health,Open Access Articles with Creative Commons License,597,0.004034601608434142
de,Top 4-13,Sage,Total Articles,11425,0.02182330098200079
de,Top 4-13,Sage,Open Access Articles with Creative Commons License,3336,0.022545110495370682
de,Top 4-13,American Chemical Society,Total Articles,19019,0.036328871892925434
de,Top 4-13,American Chemical Society,Open Access Articles with Creative Commons License,2675,0.018077988781509766
de,Other,IEEE,Total Articles,9304,0.017771903049149704
de,Other,IEEE,Open Access Articles with Creative Commons License,1194,0.008069203216868284
de,Top 4-13,Oxford University Press,Total Articles,15633,0.029861152232089135
de,Top 4-13,Oxford University Press,Open Access Articles with Creative Commons License,3117,0.021065080759613435
de,Top 4-13,Royal Society of Chemistry,Total Articles,9290,0.01774516114860283
de,Top 4-13,Royal Society of Chemistry,Open Access Articles with Creative Commons License,3157,0.02133540582550517
de,Top 4-13,Cambridge University Press,Total Articles,5503,0.010511477050673991
de,Top 4-13,Cambridge University Press,Open Access Articles with Creative Commons License,2094,0.014151517199432317
de,Top 4-13,IOP Publishing,Total Articles,8815,0.016837846665762535
de,Top 4-13,IOP Publishing,Open Access Articles with Creative Commons License,3359,0.022700547408258432
de,Top 4-13,The Electrochemical Society,Total Articles,8526,0.016285817433044966
de,Top 4-13,The Electrochemical Society,Open Access Articles with Creative Commons License,3230,0.021828749070757585
de,Top 4-13,American Physical Society,Total Articles,13248,0.025305478460354178
de,Top 4-13,American Physical Society,Open Access Articles with Creative Commons License,2860,0.01932824221125904
de,Other,Walter de Gruyter,Total Articles,22526,0.043027717979916835
de,Other,Walter de Gruyter,Open Access Articles with Creative Commons License,2321,0.015685611948367914
de,Other,Emerald,Total Articles,2036,0.0038890363938165087
de,Other,Emerald,Open Access Articles with Creative Commons License,1,6.75812664729337e-6
de,Other,AIP Publishing,Total Articles,6741,0.012876225113318804
de,Other,AIP Publishing,Open Access Articles with Creative Commons License,1,6.75812664729337e-6
de,Other,BMJ Publishing,Total Articles,1574,0.003006553675769737
de,Other,BMJ Publishing,Open Access Articles with Creative Commons License,384,0.0025951206325606543
de,Other,Thieme,Total Articles,14602,0.027891802270387355
de,Other,Thieme,Open Access Articles with Creative Commons License,806,0.005447050077718457
de,Other,World Scientific,Total Articles,1313,0.0025080082441459113
de,Other,World Scientific,Open Access Articles with Creative Commons License,0,0
de,Other,Bentham Science Publishers,Total Articles,415,7.92706337639416e-4
de,Other,Bentham Science Publishers,Open Access Articles with Creative Commons License,51,3.446644590119619e-4
de,Other,American Psychological Association,Total Articles,1451,0.0027716069781079343
de,Other,American Psychological Association,Open Access Articles with Creative Commons License,247,0.0016692572818814626
de,Other,Brill,Total Articles,3073,0.005869847170038375
de,Other,Brill,Open Access Articles with Creative Commons License,246,0.001662499155234169
de,Other,"Mary Ann Liebert, Inc.",Total Articles,936,0.001787887065133719
de,Other,"Mary Ann Liebert, Inc.",Open Access Articles with Creative Commons License,0,0
de,Other,Association for Computing Machinery,Total Articles,2063,0.003940610059156904
de,Other,Association for Computing Machinery,Open Access Articles with Creative Commons License,71,4.798269919578293e-4
de,Other,IOS Press,Total Articles,1265,0.002416321727985208
de,Other,IOS Press,Open Access Articles with Creative Commons License,216,0.001459755355815368
de,Other,Karger,Total Articles,3027,0.005781980925384367
de,Other,Karger,Open Access Articles with Creative Commons License,498,0.0033655470703520983
de,Other,EDP Sciences,Total Articles,3668,0.007006377943280429
de,Other,EDP Sciences,Open Access Articles with Creative Commons License,1604,0.010840035142258566
de,Other,Trans Tech Publications,Total Articles,800,0.0015281086026783922
de,Other,Trans Tech Publications,Open Access Articles with Creative Commons License,195,0.0013178346962222072
de,Other,National Academy of Sciences,Total Articles,1610,0.0030753185628902644
de,Other,National Academy of Sciences,Open Access Articles with Creative Commons License,966,0.006528350341285395
de,Other,Optica,Total Articles,930,0.0017764262506136312
de,Other,Optica,Open Access Articles with Creative Commons License,4,2.703250658917348e-5
de,Other,American Physiological Society,Total Articles,632,0.00120720579611593
de,Other,American Physiological Society,Open Access Articles with Creative Commons License,0,0
de,Other,The Royal Society,Total Articles,1194,0.0022807020894975005
de,Other,The Royal Society,Open Access Articles with Creative Commons License,140,9.461377306210719e-4
de,Other,Canadian Science Publishing,Total Articles,122,2.3303656190845482e-4
de,Other,Canadian Science Publishing,Open Access Articles with Creative Commons License,7,4.730688653105359e-5
de,Other,American Meteorological Society,Total Articles,560,0.0010696760218748746
de,Other,American Meteorological Society,Open Access Articles with Creative Commons License,32,2.1626005271338785e-4
de,Other,Future Science Group,Total Articles,372,7.105705002454525e-4
de,Other,Future Science Group,Open Access Articles with Creative Commons License,96,6.487801581401636e-4
de,Other,CSIRO,Total Articles,163,3.1135212779572245e-4
de,Other,CSIRO,Open Access Articles with Creative Commons License,0,0
de,Other,John Benjamins Publishing,Total Articles,714,0.0013638369278904652
de,Other,John Benjamins Publishing,Open Access Articles with Creative Commons License,67,4.527944853686558e-4
de,Other,Company of Biologists,Total Articles,718,0.0013714774709038572
de,Other,Company of Biologists,Open Access Articles with Creative Commons License,164,0.0011083327701561128
de,Other,SPIE,Total Articles,285,5.443886897041773e-4
de,Other,SPIE,Open Access Articles with Creative Commons License,0,0
de,Other,Microbiology Society,Total Articles,378,7.220313147655404e-4
de,Other,Microbiology Society,Open Access Articles with Creative Commons License,81,5.47408258430763e-4
de,Other,Akadémiai Kiadó,Total Articles,96,1.8337303232140707e-4
