cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,1408,Crossref,69,0.049005681818181816
2017,Germany,1408,Unpaywall,74,0.052556818181818184
2018,Germany,1236,Crossref,72,0.05825242718446602
2018,Germany,1236,Unpaywall,77,0.06229773462783172
2019,Germany,1317,Crossref,65,0.04935459377372817
2019,Germany,1317,Unpaywall,68,0.051632498101746395
2020,Germany,1031,Crossref,144,0.1396702230843841
2020,Germany,1031,Unpaywall,159,0.1542192046556741
2021,Germany,891,Crossref,299,0.33557800224466894
2021,Germany,891,Unpaywall,319,0.35802469135802467
2022,Germany,914,Crossref,399,0.4365426695842451
2022,Germany,914,Unpaywall,432,0.4726477024070022
2023,Germany,850,Crossref,418,0.49176470588235294
2023,Germany,850,Unpaywall,437,0.5141176470588236
2024,Germany,913,Crossref,486,0.5323110624315444
2024,Germany,913,Unpaywall,462,0.5060240963855421
2025,Germany,776,Crossref,380,0.4896907216494845
2025,Germany,776,Unpaywall,409,0.5270618556701031
2026,Germany,387,Crossref,230,0.5943152454780362
2026,Germany,387,Unpaywall,233,0.6020671834625323
