esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025
AIP Publishing,Germany,TDM Support,1,1,0.9846153846153847,1,1,1,1,1,0.2508833922261484
AIP Publishing,Germany,ORCID,0.5915492957746479,0.6301369863013698,0.6923076923076923,0.8831168831168831,0.9258064516129032,0.9532019704433498,0.9753914988814317,0.9527720739219713,0.9893992932862191
AIP Publishing,Germany,Funder info,0.5492957746478874,0.7534246575342466,0.8,0.7857142857142857,0.7645161290322581,0.8029556650246306,0.7829977628635347,0.7802874743326489,0.8197879858657244
AIP Publishing,Germany,Open Abstracts,0.9436619718309859,1,0.9692307692307692,0.9935064935064936,0.967741935483871,0.9729064039408867,0.9798657718120806,0.9548254620123203,1
AIP Publishing,Germany,Open Citations,1,1,1,1,1,1,1,0.997946611909651,1
AIP Publishing,Global,TDM Support,0.9931693989071039,0.9985528219971056,0.9986263736263736,1,1,0.9994441356309061,1,0.9997865983781477,0.2475864216754905
AIP Publishing,Global,ORCID,0.4521857923497268,0.5253256150506512,0.5769230769230769,0.8163493840985442,0.9149392423159399,0.914396887159533,0.8660346248969497,0.9686299615877081,0.9922142634693242
AIP Publishing,Global,Funder info,0.5368852459016393,0.76410998552822,0.8076923076923077,0.8141097424412094,0.8334524660471766,0.8010005558643691,0.7131079967023908,0.8040973111395646,0.8146994705699159
AIP Publishing,Global,Open Abstracts,0.9699453551912568,0.9797395079594791,0.9876373626373627,0.9899216125419933,0.9749821300929236,0.9444135630906059,0.875515251442704,0.967989756722151,0.9937714107754594
AIP Publishing,Global,Open Citations,1,0.9971056439942113,1,1,0.9992852037169406,0.9994441356309061,0.9979389942291839,0.9993597951344431,0.9993771410775459
