cr_year,issn_l,collection,articles,oa_articles
2017,0001-4966,de,169,13
2017,0001-4966,global,4047,258
2017,0002-9505,de,6,1
2017,0002-9505,global,169,2
2017,0003-6951,de,201,10
2017,0003-6951,global,2805,130
2017,0021-8979,de,149,11
2017,0021-8979,global,2251,47
2017,0021-9606,de,258,11
2017,0021-9606,global,2084,65
2017,0022-2488,de,33,0
2017,0022-2488,global,454,4
2017,0031-9015,de,4,0
2017,0031-9015,global,448,0
2017,0031-921X,de,6,0
2017,0031-921X,global,271,0
2017,0031-9228,de,7,0
2017,0031-9228,global,866,0
2017,0034-6748,de,81,6
2017,0034-6748,global,922,54
2017,0047-2689,de,1,0
2017,0047-2689,global,22,0
2017,0094-243X,de,266,0
2017,0094-243X,global,11789,0
2017,0148-6055,de,6,0
2017,0148-6055,global,113,3
2017,0734-2101,de,9,2
2017,0734-2101,global,211,12
2017,1042-346X,de,22,2
2017,1042-346X,global,51,5
2017,1054-1500,de,38,4
2017,1054-1500,global,378,20
2017,1055-5269,de,0,0
2017,1055-5269,global,25,0
2017,1063-777X,de,11,0
2017,1063-777X,global,210,0
2017,1070-6631,de,24,1
2017,1070-6631,global,640,17
2017,1070-664X,de,65,3
2017,1070-664X,global,1426,59
2017,1559-4106,de,9,3
2017,1559-4106,global,95,23
2017,1674-0068,de,0,0
2017,1674-0068,global,121,0
2017,1931-9401,de,5,3
2017,1931-9401,global,42,7
2017,1932-1058,de,4,0
2017,1932-1058,global,120,11
2017,1941-7012,de,2,0
2017,1941-7012,global,251,2
2017,2166-2746,de,11,1
2017,2166-2746,global,244,12
2017,2639-0213,de,0,0
2017,2639-0213,global,0,0
2018,0001-4966,de,64,15
2018,0001-4966,global,3056,227
2018,0002-9505,de,3,0
2018,0002-9505,global,158,5
2018,0003-6951,de,153,7
2018,0003-6951,global,2328,111
2018,0021-8979,de,110,4
2018,0021-8979,global,2087,66
2018,0021-9606,de,260,14
2018,0021-9606,global,2104,78
2018,0022-2488,de,35,0
2018,0022-2488,global,510,5
2018,0031-9015,de,6,0
2018,0031-9015,global,411,0
2018,0031-921X,de,5,0
2018,0031-921X,global,323,0
2018,0031-9228,de,0,0
2018,0031-9228,global,688,0
2018,0034-6748,de,106,15
2018,0034-6748,global,1277,58
2018,0047-2689,de,5,0
2018,0047-2689,global,20,0
2018,0094-243X,de,243,0
2018,0094-243X,global,12821,0
2018,0148-6055,de,8,0
2018,0148-6055,global,124,2
2018,0734-2101,de,7,0
2018,0734-2101,global,196,13
2018,1042-346X,de,22,2
2018,1042-346X,global,57,4
2018,1054-1500,de,58,3
2018,1054-1500,global,479,12
2018,1055-5269,de,1,0
2018,1055-5269,global,13,0
2018,1063-777X,de,6,0
2018,1063-777X,global,183,0
2018,1070-6631,de,25,0
2018,1070-6631,global,678,13
2018,1070-664X,de,55,3
2018,1070-664X,global,1336,39
2018,1559-4106,de,13,3
2018,1559-4106,global,75,19
2018,1674-0068,de,0,0
2018,1674-0068,global,121,0
2018,1931-9401,de,3,1
2018,1931-9401,global,52,14
2018,1932-1058,de,4,2
2018,1932-1058,global,126,8
2018,1941-7012,de,7,1
2018,1941-7012,global,298,7
2018,2166-2746,de,27,2
2018,2166-2746,global,211,14
2018,2639-0213,de,0,0
2018,2639-0213,global,0,0
2019,0001-4966,de,67,15
2019,0001-4966,global,3130,259
2019,0002-9505,de,7,0
2019,0002-9505,global,178,5
2019,0003-6951,de,112,6
2019,0003-6951,global,1932,103
2019,0021-8979,de,111,13
2019,0021-8979,global,2031,71
2019,0021-9606,de,264,5
2019,0021-9606,global,2093,77
2019,0022-2488,de,30,0
2019,0022-2488,global,471,2
2019,0031-9015,de,6,0
2019,0031-9015,global,391,0
2019,0031-921X,de,7,0
2019,0031-921X,global,328,0
2019,0031-9228,de,3,0
2019,0031-9228,global,585,0
2019,0034-6748,de,111,13
2019,0034-6748,global,978,62
2019,0047-2689,de,3,0
2019,0047-2689,global,12,0
2019,0094-243X,de,373,0
2019,0094-243X,global,13112,0
2019,0148-6055,de,4,1
2019,0148-6055,global,62,5
2019,0734-2101,de,21,3
2019,0734-2101,global,220,18
2019,1042-346X,de,29,0
2019,1042-346X,global,83,1
2019,1054-1500,de,45,3
2019,1054-1500,global,484,22
2019,1055-5269,de,3,0
2019,1055-5269,global,48,0
2019,1063-777X,de,4,0
2019,1063-777X,global,180,0
2019,1070-6631,de,28,0
2019,1070-6631,global,901,25
2019,1070-664X,de,44,2
2019,1070-664X,global,929,24
2019,1559-4106,de,3,0
2019,1559-4106,global,38,4
2019,1674-0068,de,1,0
2019,1674-0068,global,113,0
2019,1931-9401,de,7,1
2019,1931-9401,global,69,16
2019,1932-1058,de,3,0
2019,1932-1058,global,116,6
2019,1941-7012,de,3,0
2019,1941-7012,global,197,8
2019,2166-2746,de,29,3
2019,2166-2746,global,244,22
2019,2639-0213,de,0,0
2019,2639-0213,global,5,2
2020,0001-4966,de,53,20
2020,0001-4966,global,1969,240
2020,0002-9505,de,5,0
2020,0002-9505,global,177,5
2020,0003-6951,de,129,21
2020,0003-6951,global,2116,140
2020,0021-8979,de,117,13
2020,0021-8979,global,2132,95
2020,0021-9606,de,229,38
2020,0021-9606,global,2072,149
2020,0022-2488,de,25,2
2020,0022-2488,global,427,13
2020,0031-9015,de,7,0
2020,0031-9015,global,388,0
2020,0031-921X,de,6,0
2020,0031-921X,global,314,2
2020,0031-9228,de,3,0
2020,0031-9228,global,523,0
2020,0034-6748,de,109,21
2020,0034-6748,global,975,72
2020,0047-2689,de,1,0
2020,0047-2689,global,11,3
2020,0094-243X,de,124,0
2020,0094-243X,global,10864,0
2020,0148-6055,de,3,0
2020,0148-6055,global,109,3
2020,0734-2101,de,16,2
2020,0734-2101,global,319,14
2020,1042-346X,de,26,2
2020,1042-346X,global,94,2
2020,1054-1500,de,48,7
2020,1054-1500,global,568,36
2020,1055-5269,de,1,0
2020,1055-5269,global,45,0
2020,1063-777X,de,3,2
2020,1063-777X,global,176,2
2020,1070-6631,de,32,4
2020,1070-6631,global,1244,36
2020,1070-664X,de,42,14
2020,1070-664X,global,874,39
2020,1559-4106,de,14,4
2020,1559-4106,global,84,13
2020,1674-0068,de,1,0
2020,1674-0068,global,113,0
2020,1931-9401,de,7,1
2020,1931-9401,global,91,21
2020,1932-1058,de,5,1
2020,1932-1058,global,111,9
2020,1941-7012,de,4,1
2020,1941-7012,global,156,4
2020,2166-2746,de,21,1
2020,2166-2746,global,200,9
2020,2639-0213,de,3,2
2020,2639-0213,global,19,6
2021,0001-4966,de,64,17
2021,0001-4966,global,2338,138
2021,0002-9505,de,5,3
2021,0002-9505,global,180,14
2021,0003-6951,de,137,48
2021,0003-6951,global,2399,253
2021,0021-8979,de,106,37
2021,0021-8979,global,1880,158
2021,0021-9606,de,204,77
2021,0021-9606,global,1857,268
2021,0022-2488,de,25,8
2021,0022-2488,global,462,28
2021,0031-9015,de,5,0
2021,0031-9015,global,360,0
2021,0031-921X,de,9,5
2021,0031-921X,global,335,7
2021,0031-9228,de,4,0
2021,0031-9228,global,506,0
2021,0034-6748,de,78,39
2021,0034-6748,global,1121,134
2021,0047-2689,de,2,0
2021,0047-2689,global,25,3
2021,0094-243X,de,22,6
2021,0094-243X,global,7674,12
2021,0148-6055,de,11,3
2021,0148-6055,global,108,10
2021,0734-2101,de,30,13
2021,0734-2101,global,304,26
2021,1042-346X,de,15,4
2021,1042-346X,global,77,6
2021,1054-1500,de,31,12
2021,1054-1500,global,543,50
2021,1055-5269,de,1,0
2021,1055-5269,global,18,0
2021,1063-777X,de,5,0
2021,1063-777X,global,142,1
2021,1070-6631,de,62,22
2021,1070-6631,global,2025,164
2021,1070-664X,de,26,12
2021,1070-664X,global,804,73
2021,1559-4106,de,6,1
2021,1559-4106,global,39,5
2021,1674-0068,de,0,0
2021,1674-0068,global,108,0
2021,1931-9401,de,9,5
2021,1931-9401,global,150,29
2021,1932-1058,de,1,0
2021,1932-1058,global,67,10
2021,1941-7012,de,3,1
2021,1941-7012,global,175,11
2021,2166-2746,de,16,2
2021,2166-2746,global,155,11
2021,2639-0213,de,1,0
2021,2639-0213,global,31,11
2022,0001-4966,de,44,16
2022,0001-4966,global,2454,148
2022,0002-9505,de,6,1
2022,0002-9505,global,157,14
2022,0003-6951,de,117,65
2022,0003-6951,global,2126,283
2022,0021-8979,de,102,49
2022,0021-8979,global,1844,189
2022,0021-9606,de,214,98
2022,0021-9606,global,1788,322
2022,0022-2488,de,28,9
2022,0022-2488,global,456,49
2022,0031-9015,de,4,0
2022,0031-9015,global,345,0
2022,0031-921X,de,10,3
2022,0031-921X,global,351,11
2022,0031-9228,de,2,0
2022,0031-9228,global,473,0
2022,0034-6748,de,57,41
2022,0034-6748,global,921,134
2022,0047-2689,de,3,1
2022,0047-2689,global,17,2
2022,0094-243X,de,88,9
2022,0094-243X,global,12490,88
2022,0148-6055,de,4,2
2022,0148-6055,global,106,9
2022,0734-2101,de,18,7
2022,0734-2101,global,242,40
2022,1042-346X,de,16,6
2022,1042-346X,global,67,12
2022,1054-1500,de,39,13
2022,1054-1500,global,520,54
2022,1055-5269,de,1,0
2022,1055-5269,global,37,2
2022,1063-777X,de,4,0
2022,1063-777X,global,150,0
2022,1070-6631,de,87,42
