cr_year,jn_all,cc,cc_total,prop
2017,2512,CC BY,1,3.980891719745223e-4
2017,2512,CC BY-SA,0,0
2017,2512,CC BY-NC,0,0
2017,2512,CC BY-NC-SA,0,0
2017,2512,CC BY-ND,0,0
2017,2512,CC BY-NC-ND,1,3.980891719745223e-4
2018,2679,CC BY,4,0.0014930944382232176
2018,2679,CC BY-SA,0,0
2018,2679,CC BY-NC,0,0
2018,2679,CC BY-NC-SA,0,0
2018,2679,CC BY-ND,0,0
2018,2679,CC BY-NC-ND,2,7.465472191116088e-4
2019,2811,CC BY,4,0.001422981145499822
2019,2811,CC BY-SA,0,0
2019,2811,CC BY-NC,0,0
2019,2811,CC BY-NC-SA,0,0
2019,2811,CC BY-ND,0,0
2019,2811,CC BY-NC-ND,6,0.0021344717182497333
2020,2686,CC BY,3,0.0011169024571854058
2020,2686,CC BY-SA,0,0
2020,2686,CC BY-NC,2,7.446016381236039e-4
2020,2686,CC BY-NC-SA,0,0
2020,2686,CC BY-ND,0,0
2020,2686,CC BY-NC-ND,24,0.008935219657483246
2021,2677,CC BY,326,0.12177810982443034
2021,2677,CC BY-SA,0,0
2021,2677,CC BY-NC,2,7.471049682480389e-4
2021,2677,CC BY-NC-SA,0,0
2021,2677,CC BY-ND,0,0
2021,2677,CC BY-NC-ND,263,0.0982443033246171
2022,2326,CC BY,328,0.1410146173688736
2022,2326,CC BY-SA,0,0
2022,2326,CC BY-NC,0,0
2022,2326,CC BY-NC-SA,0,0
2022,2326,CC BY-ND,0,0
2022,2326,CC BY-NC-ND,266,0.11435941530524506
2023,2294,CC BY,601,0.2619877942458588
2023,2294,CC BY-SA,0,0
2023,2294,CC BY-NC,1,4.3591979075850045e-4
2023,2294,CC BY-NC-SA,0,0
2023,2294,CC BY-ND,0,0
2023,2294,CC BY-NC-ND,209,0.0911072362685266
2024,377,CC BY,157,0.41644562334217505
2024,377,CC BY-SA,0,0
2024,377,CC BY-NC,0,0
2024,377,CC BY-NC-SA,0,0
2024,377,CC BY-ND,0,0
2024,377,CC BY-NC-ND,32,0.08488063660477453
