country_name_fct,cr_year,articles,cc_total,prop
China,'17,11505,2,1.738374619730552e-4
China,'18,15066,0,0
China,'19,17341,1,5.7666801222536187e-5
China,'20,17843,10,5.604438715462646e-4
China,'21,20149,223,0.011067546776514963
China,'22,22345,278,0.012441262027299171
China,'23,19347,356,0.0184007856515222
United States,'17,11796,8,6.781959986436081e-4
United States,'18,12520,10,7.987220447284345e-4
United States,'19,12400,13,0.0010483870967741935
United States,'20,12883,27,0.002095785143211985
United States,'21,11856,836,0.07051282051282051
United States,'22,10764,1165,0.1082311408398365
United States,'23,8357,1588,0.19002034222807226
Germany,'17,2493,2,8.022462896109105e-4
Germany,'18,2650,6,0.0022641509433962265
Germany,'19,2781,10,0.003595828838547285
Germany,'20,2684,29,0.010804769001490314
Germany,'21,2667,588,0.2204724409448819
Germany,'22,2318,589,0.2540983606557377
Germany,'23,1805,602,0.3335180055401662
Japan,'17,2167,0,0
Japan,'18,2326,3,0.0012897678417884782
Japan,'19,2492,5,0.0020064205457463883
Japan,'20,2700,12,0.0044444444444444444
Japan,'21,2590,257,0.09922779922779923
Japan,'22,2297,255,0.1110143665650849
Japan,'23,1834,274,0.14940021810250817
India,'17,1675,0,0
India,'18,2071,0,0
India,'19,2184,0,0
India,'20,2194,1,4.5578851412944393e-4
India,'21,2411,24,0.009954375777685608
India,'22,2708,25,0.009231905465288036
India,'23,2760,39,0.014130434782608696
South Korea,'17,1509,1,6.626905235255136e-4
South Korea,'18,1765,0,0
South Korea,'19,1830,0,0
South Korea,'20,1994,1,5.015045135406219e-4
South Korea,'21,1969,74,0.037582529202640935
South Korea,'22,1768,72,0.04072398190045249
South Korea,'23,1444,77,0.05332409972299169
United Kingdom,'17,1539,15,0.009746588693957114
United Kingdom,'18,1651,15,0.009085402786190187
United Kingdom,'19,1741,9,0.005169442848937392
United Kingdom,'20,1746,31,0.017754868270332187
United Kingdom,'21,1562,571,0.36555697823303457
United Kingdom,'22,1446,1252,0.8658367911479945
United Kingdom,'23,1135,1011,0.8907488986784141
France,'17,1359,1,7.358351729212656e-4
France,'18,1346,2,0.0014858841010401188
France,'19,1356,0,0
France,'20,1405,7,0.00498220640569395
France,'21,1266,86,0.0679304897314376
France,'22,1172,102,0.08703071672354949
France,'23,936,87,0.09294871794871795
Canada,'17,1264,0,0
Canada,'18,1355,0,0
Canada,'19,1340,5,0.0037313432835820895
Canada,'20,1434,5,0.003486750348675035
Canada,'21,1333,111,0.08327081770442611
Canada,'22,1161,100,0.08613264427217916
Canada,'23,896,116,0.12946428571428573
Spain,'17,991,0,0
Spain,'18,1144,1,8.741258741258741e-4
Spain,'19,1015,0,0
Spain,'20,1065,13,0.012206572769953052
Spain,'21,943,613,0.6500530222693531
Spain,'22,801,627,0.7827715355805244
Spain,'23,723,531,0.7344398340248963
Australia,'17,814,1,0.0012285012285012285
Australia,'18,890,0,0
Australia,'19,1003,1,9.970089730807576e-4
Australia,'20,1020,5,0.004901960784313725
Australia,'21,984,62,0.06300813008130081
Australia,'22,754,50,0.06631299734748011
Australia,'23,589,50,0.08488964346349745
Italy,'17,850,0,0
Italy,'18,879,0,0
Italy,'19,870,4,0.004597701149425287
Italy,'20,930,426,0.45806451612903226
Italy,'21,906,580,0.6401766004415012
Italy,'22,780,632,0.8102564102564103
Italy,'23,655,507,0.7740458015267175
Switzerland,'17,703,0,0
Switzerland,'18,704,2,0.002840909090909091
Switzerland,'19,728,5,0.006868131868131868
Switzerland,'20,700,22,0.03142857142857143
Switzerland,'21,647,240,0.37094281298299847
Switzerland,'22,571,216,0.37828371278458844
Switzerland,'23,445,250,0.5617977528089888
Taiwan,'17,464,0,0
Taiwan,'18,562,0,0
Taiwan,'19,551,0,0
Taiwan,'20,656,0,0
Taiwan,'21,668,23,0.0344311377245509
Taiwan,'22,623,21,0.033707865168539325
Taiwan,'23,477,27,0.05660377358490566
Netherlands,'17,499,3,0.006012024048096192
Netherlands,'18,554,6,0.010830324909747292
Netherlands,'19,574,4,0.006968641114982578
Netherlands,'20,616,19,0.030844155844155844
Netherlands,'21,599,469,0.7829716193656093
Netherlands,'22,546,505,0.924908424908425
Netherlands,'23,475,443,0.9326315789473684
Russia,'17,452,0,0
Russia,'18,455,0,0
Russia,'19,535,1,0.001869158878504673
Russia,'20,537,1,0.00186219739292365
Russia,'21,545,13,0.023853211009174313
Russia,'22,470,18,0.03829787234042553
Russia,'23,383,16,0.04177545691906005
Singapore,'17,476,0,0
Singapore,'18,512,0,0
Singapore,'19,506,0,0
Singapore,'20,558,0,0
Singapore,'21,503,26,0.05168986083499006
Singapore,'22,412,27,0.06553398058252427
Singapore,'23,349,35,0.10028653295128939
Sweden,'17,483,2,0.004140786749482402
Sweden,'18,508,2,0.003937007874015748
Sweden,'19,538,7,0.013011152416356878
Sweden,'20,531,6,0.011299435028248588
Sweden,'21,499,394,0.7895791583166333
Sweden,'22,401,370,0.9226932668329177
Sweden,'23,348,320,0.9195402298850575
Brazil,'17,373,0,0
Brazil,'18,455,0,0
Brazil,'19,501,0,0
Brazil,'20,531,1,0.0018832391713747645
Brazil,'21,474,36,0.0759493670886076
Brazil,'22,370,12,0.032432432432432434
Brazil,'23,302,19,0.06291390728476821
Poland,'17,347,2,0.005763688760806916
Poland,'18,344,1,0.0029069767441860465
Poland,'19,350,0,0
Poland,'20,402,3,0.007462686567164179
Poland,'21,386,277,0.7176165803108808
Poland,'22,354,316,0.8926553672316384
Poland,'23,289,257,0.889273356401384
Other,'17,4014,1,2.4912805181863477e-4
Other,'18,4540,3,6.607929515418502e-4
Other,'19,4686,19,0.004054630815194195
Other,'20,4877,46,0.00943202788599549
Other,'21,4659,1064,0.2283751878085426
Other,'22,4288,1409,0.32859141791044777
Other,'23,3735,1446,0.38714859437751004
