cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,2483,Crossref,2,8.054772452678212e-4
2017,Germany,2483,Unpaywall,222,0.08940797422472815
2018,Germany,2643,Crossref,6,0.0022701475595913734
2018,Germany,2643,Unpaywall,159,0.060158910329171394
2019,Germany,2767,Crossref,10,0.003614022406938923
2019,Germany,2767,Unpaywall,450,0.16263100831225152
2020,Germany,2663,Crossref,30,0.011265490048817123
2020,Germany,2663,Unpaywall,449,0.1686068343972963
2021,Germany,2649,Crossref,587,0.22159305398263496
2021,Germany,2649,Unpaywall,531,0.20045300113250283
2022,Germany,2305,Crossref,589,0.25553145336225597
2022,Germany,2305,Unpaywall,510,0.22125813449023862
2023,Germany,2297,Crossref,816,0.35524597300827165
2023,Germany,2297,Unpaywall,782,0.34044405746626033
2024,Germany,1377,Crossref,737,0.5352214960058097
2024,Germany,1377,Unpaywall,701,0.5090777051561365
