cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,51961,Crossref,40,7.698081253247628e-4
2017,Global,51961,Unpaywall,3208,0.06173861165104598
2018,Global,57240,Crossref,53,9.25925925925926e-4
2018,Global,57240,Unpaywall,2586,0.04517819706498952
2019,Global,60064,Crossref,73,0.0012153702717101757
2019,Global,60064,Unpaywall,3160,0.05261054874800213
2020,Global,62039,Crossref,660,0.010638469349925047
2020,Global,62039,Unpaywall,4380,0.07060075114041167
2021,Global,63877,Crossref,6341,0.09926890743146985
2021,Global,63877,Unpaywall,3070,0.048061117460118666
2022,Global,62364,Crossref,7757,0.12438265666089411
2022,Global,62364,Unpaywall,2997,0.048056571098710796
2023,Global,44024,Crossref,6531,0.14835089950935854
2023,Global,44024,Unpaywall,4691,0.1065555151735417
