esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023
American Chemical Society,Germany,TDM Support,0.5,0.8,0.375,0.16666666666666666,0.01517706576728499,0.011627906976744186,0
American Chemical Society,Germany,ORCID,0.5,0.2,0.875,1,1,0.9983388704318937,0.9936305732484076
American Chemical Society,Germany,Funder info,1,1,0.875,0.8666666666666667,0.9072512647554806,0.9003322259136213,0.9299363057324841
American Chemical Society,Germany,Open Abstracts,0,0,0,0,0,0,0
American Chemical Society,Germany,Open Citations,1,1,1,1,1,0.9983388704318937,1
American Chemical Society,Global,TDM Support,0.975,0.8490566037735849,0.5416666666666666,0.028875379939209727,0.0037854889589905363,0.002844214608920491,0.0020757654385054488
American Chemical Society,Global,ORCID,0.425,0.3584905660377358,0.6388888888888888,0.9984802431610942,0.9971608832807571,0.9966386554621849,0.9948105864037364
American Chemical Society,Global,Funder info,0.775,0.8867924528301887,0.8611111111111112,0.8085106382978723,0.9006309148264984,0.9168713639301874,0.9289050337311884
American Chemical Society,Global,Open Abstracts,0,0,0,0,0,0,0
American Chemical Society,Global,Open Citations,1,1,0.9861111111111112,0.9984802431610942,0.9968454258675079,0.9922430510665805,0.9896211728074727
