country_name_fct,cr_year,articles,cc_total,prop
United States,'17,4217,45,0.010671093194213896
United States,'18,4285,543,0.1267211201866978
United States,'19,4182,539,0.1288857006217121
United States,'20,4210,621,0.14750593824228028
United States,'21,3938,643,0.1632808532249873
United States,'22,3615,613,0.16957123098201937
United States,'23,3469,669,0.19285096569616605
United States,'24,2091,397,0.18986131037780965
China,'17,2117,11,0.0051960321209258385
China,'18,2389,290,0.12138970280452072
China,'19,2768,379,0.1369219653179191
China,'20,2967,370,0.12470508931580722
China,'21,3169,434,0.13695171978542126
China,'22,3545,513,0.14471086036671368
China,'23,3573,476,0.13322138259165967
China,'24,2475,344,0.138989898989899
Germany,'17,1924,49,0.02546777546777547
Germany,'18,1986,252,0.1268882175226586
Germany,'19,1821,237,0.1301482701812191
Germany,'20,1798,503,0.27975528364849833
Germany,'21,1743,491,0.2816982214572576
Germany,'22,1620,525,0.32407407407407407
Germany,'23,1478,510,0.34506089309878213
Germany,'24,911,333,0.36553238199780463
Japan,'17,1324,21,0.015861027190332326
Japan,'18,1277,165,0.12920908379013313
Japan,'19,1269,175,0.13790386130811663
Japan,'20,1241,184,0.14826752618855762
Japan,'21,1241,211,0.17002417405318293
Japan,'22,1107,177,0.15989159891598917
Japan,'23,1102,179,0.16243194192377494
Japan,'24,635,109,0.17165354330708663
United Kingdom,'17,984,99,0.10060975609756098
United Kingdom,'18,939,156,0.16613418530351437
United Kingdom,'19,981,169,0.17227319062181448
United Kingdom,'20,981,197,0.20081549439347604
United Kingdom,'21,855,173,0.2023391812865497
United Kingdom,'22,717,149,0.20781032078103207
United Kingdom,'23,706,505,0.7152974504249292
United Kingdom,'24,415,371,0.8939759036144578
France,'17,1005,20,0.01990049751243781
France,'18,876,69,0.07876712328767123
France,'19,860,71,0.08255813953488372
France,'20,861,106,0.12311265969802555
France,'21,756,92,0.12169312169312169
France,'22,803,96,0.11955168119551682
France,'23,857,115,0.13418903150525088
France,'24,502,74,0.14741035856573706
India,'17,714,3,0.004201680672268907
India,'18,773,121,0.15653298835705046
India,'19,772,137,0.17746113989637305
India,'20,813,140,0.17220172201722017
India,'21,855,130,0.15204678362573099
India,'22,925,155,0.16756756756756758
India,'23,975,181,0.18564102564102564
India,'24,623,106,0.17014446227929375
Italy,'17,589,13,0.022071307300509338
Italy,'18,626,92,0.14696485623003194
