cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,1982,Crossref,50,0.025227043390514632
2017,Germany,1982,Unpaywall,58,0.029263370332996974
2018,Germany,2045,Crossref,261,0.1276283618581907
2018,Germany,2045,Unpaywall,263,0.12860635696821515
2019,Germany,1890,Crossref,253,0.13386243386243385
2019,Germany,1890,Unpaywall,260,0.13756613756613756
2020,Germany,1871,Crossref,526,0.2811330839123463
2020,Germany,1871,Unpaywall,539,0.28808123997862106
2021,Germany,1800,Crossref,511,0.2838888888888889
2021,Germany,1800,Unpaywall,519,0.28833333333333333
2022,Germany,1674,Crossref,546,0.32616487455197135
2022,Germany,1674,Unpaywall,553,0.33034647550776586
2023,Germany,1525,Crossref,531,0.3481967213114754
2023,Germany,1525,Unpaywall,534,0.3501639344262295
2024,Germany,1627,Crossref,586,0.3601720958819914
2024,Germany,1627,Unpaywall,586,0.3601720958819914
2025,Germany,1716,Crossref,1171,0.6824009324009324
2025,Germany,1716,Unpaywall,1172,0.682983682983683
2026,Germany,787,Crossref,584,0.7420584498094028
2026,Germany,787,Unpaywall,584,0.7420584498094028
