cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,18989,Crossref,438,0.0230659855705935
2017,Global,18989,Unpaywall,5730,0.30175364684817524
2018,Global,19404,Crossref,2744,0.1414141414141414
2018,Global,19404,Unpaywall,7373,0.3799732014017728
2019,Global,19365,Crossref,2886,0.1490317583268784
2019,Global,19365,Unpaywall,6086,0.31427833720630005
2020,Global,19557,Crossref,3427,0.17523137495525898
2020,Global,19557,Unpaywall,4324,0.22109730531267577
2021,Global,19041,Crossref,3478,0.18265847381965233
2021,Global,19041,Unpaywall,3663,0.1923743500866551
2022,Global,18550,Crossref,3528,0.19018867924528302
2022,Global,18550,Unpaywall,3928,0.21175202156334233
2023,Global,18188,Crossref,4099,0.22536837475258412
2023,Global,18188,Unpaywall,4139,0.22756762700681768
2024,Global,16662,Crossref,3879,0.23280518545192655
2024,Global,16662,Unpaywall,3862,0.23178489977193614
