esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
American Physical Society,Germany,TDM Support,0,0,0,0,0,0,0,0
American Physical Society,Germany,ORCID,0,0,0.364,0.9157088122605364,0.9547244094488189,0.966728280961183,0.9716446124763705,0.9793388429752066
American Physical Society,Germany,Funder info,0.96,0.9227799227799228,0.904,0.8601532567049809,0.8996062992125984,0.9057301293900185,0.9017013232514177,0.9028925619834711
American Physical Society,Germany,Open Abstracts,0,0,0,0,0,0.0018484288354898336,0.001890359168241966,0.987603305785124
American Physical Society,Germany,Open Citations,1,0.9961389961389961,1,1,1,1,1,1
American Physical Society,Global,TDM Support,0,0,0,0,0,0,0,0
American Physical Society,Global,ORCID,0,0,0.3333333333333333,0.8861978406769769,0.9229442208165612,0.937358276643991,0.9519394974383996,0.957205465326115
American Physical Society,Global,Funder info,0.9018264840182648,0.8983236151603499,0.9067914067914068,0.9180040852057193,0.9324324324324325,0.9280045351473923,0.9182727494510856,0.9136375354472802
American Physical Society,Global,Open Abstracts,0.00684931506849315,0,0,2.918004085205719e-4,0,5.668934240362812e-4,0.0012198097096852891,0.9788605310647074
American Physical Society,Global,Open Citations,0.9657534246575342,0.9938046647230321,0.997920997920998,0.9973737963233148,0.9959746981023577,0.996031746031746,0.9929251036838254,0.9938128383604021
