cr_year,issn_l,collection,articles,oa_articles
2017,0031-9007,de,327,15
2017,0031-9007,global,2585,153
2017,0034-6861,de,4,0
2017,0034-6861,global,43,0
2017,2331-7019,de,45,1
2017,2331-7019,global,430,16
2017,2469-990X,de,26,1
2017,2469-990X,global,488,22
2017,2469-9926,de,237,4
2017,2469-9926,global,2714,39
2017,2469-9950,de,663,10
2017,2469-9950,global,5530,42
2017,2469-9985,de,57,2
2017,2469-9985,global,1072,32
2017,2470-0010,de,228,3
2017,2470-0010,global,3469,97
2017,2470-0045,de,182,4
2017,2470-0045,global,2301,27
2017,2475-9953,de,32,2
2017,2475-9953,global,357,10
2018,0031-9007,de,333,42
2018,0031-9007,global,2868,399
2018,0034-6861,de,1,0
2018,0034-6861,global,43,0
2018,2331-7019,de,54,3
2018,2331-7019,global,643,27
2018,2469-990X,de,30,2
2018,2469-990X,global,505,27
2018,2469-9926,de,240,5
2018,2469-9926,global,2673,30
2018,2469-9950,de,654,8
2018,2469-9950,global,5198,45
2018,2469-9985,de,53,5
2018,2469-9985,global,1052,113
2018,2470-0010,de,277,170
2018,2470-0010,global,3597,2051
2018,2470-0045,de,161,1
2018,2470-0045,global,2128,29
2018,2475-9953,de,66,7
2018,2475-9953,global,697,23
2019,0031-9007,de,323,35
2019,0031-9007,global,2717,374
2019,0034-6861,de,2,0
2019,0034-6861,global,41,0
2019,2331-7019,de,56,3
2019,2331-7019,global,900,44
2019,2469-990X,de,25,1
2019,2469-990X,global,550,23
2019,2469-9926,de,207,3
2019,2469-9926,global,2517,34
2019,2469-9950,de,619,13
2019,2469-9950,global,5091,46
2019,2469-9985,de,60,14
2019,2469-9985,global,1008,132
2019,2470-0010,de,243,159
2019,2470-0010,global,3723,2176
2019,2470-0045,de,172,4
2019,2470-0045,global,2058,37
2019,2475-9953,de,87,4
2019,2475-9953,global,760,20
2020,0031-9007,de,314,98
2020,0031-9007,global,2820,495
2020,0034-6861,de,9,0
2020,0034-6861,global,34,0
2020,2331-7019,de,56,10
2020,2331-7019,global,981,63
2020,2469-990X,de,30,5
2020,2469-990X,global,589,43
2020,2469-9926,de,190,24
2020,2469-9926,global,2408,75
2020,2469-9950,de,595,113
2020,2469-9950,global,5062,265
2020,2469-9985,de,65,17
2020,2469-9985,global,996,139
2020,2470-0010,de,292,193
2020,2470-0010,global,3920,2223
2020,2470-0045,de,146,21
2020,2470-0045,global,2029,72
2020,2475-9953,de,91,22
2020,2475-9953,global,718,52
2021,0031-9007,de,329,120
2021,0031-9007,global,2442,533
2021,0034-6861,de,6,0
2021,0034-6861,global,33,0
2021,2331-7019,de,56,11
2021,2331-7019,global,830,49
2021,2469-990X,de,23,6
2021,2469-990X,global,594,40
2021,2469-9926,de,194,34
2021,2469-9926,global,2317,92
2021,2469-9950,de,605,90
2021,2469-9950,global,5139,226
2021,2469-9985,de,60,10
2021,2469-9985,global,930,117
2021,2470-0010,de,279,190
2021,2470-0010,global,4103,2291
2021,2470-0045,de,163,24
2021,2470-0045,global,1933,72
2021,2475-9953,de,72,15
2021,2475-9953,global,720,58
2022,0031-9007,de,264,110
2022,0031-9007,global,2128,467
2022,0034-6861,de,5,0
2022,0034-6861,global,38,0
2022,2331-7019,de,55,15
2022,2331-7019,global,928,78
2022,2469-990X,de,21,4
2022,2469-990X,global,555,35
2022,2469-9926,de,187,40
2022,2469-9926,global,2403,119
2022,2469-9950,de,521,91
2022,2469-9950,global,4892,236
2022,2469-9985,de,54,11
2022,2469-9985,global,1016,121
2022,2470-0010,de,302,223
2022,2470-0010,global,4074,2341
2022,2470-0045,de,150,23
2022,2470-0045,global,1786,72
2022,2475-9953,de,64,9
2022,2475-9953,global,697,48
2023,0031-9007,de,113,42
2023,0031-9007,global,1064,254
2023,0034-6861,de,3,0
2023,0034-6861,global,16,0
2023,2331-7019,de,26,8
2023,2331-7019,global,549,57
2023,2469-990X,de,5,3
2023,2469-990X,global,234,25
2023,2469-9926,de,87,12
2023,2469-9926,global,1072,65
2023,2469-9950,de,256,48
2023,2469-9950,global,2465,153
2023,2469-9985,de,26,9
2023,2469-9985,global,456,76
2023,2470-0010,de,156,117
2023,2470-0010,global,2033,1185
2023,2470-0045,de,42,14
2023,2470-0045,global,812,55
2023,2475-9953,de,32,7
2023,2475-9953,global,340,20
