cr_year,jn_all,cc,cc_total,prop
2017,96,CC BY,1,0.010416666666666666
2017,96,CC BY-SA,0,0
2017,96,CC BY-NC,0,0
2017,96,CC BY-NC-SA,0,0
2017,96,CC BY-ND,0,0
2017,96,CC BY-NC-ND,0,0
2018,93,CC BY,2,0.021505376344086023
2018,93,CC BY-SA,0,0
2018,93,CC BY-NC,0,0
2018,93,CC BY-NC-SA,0,0
2018,93,CC BY-ND,0,0
2018,93,CC BY-NC-ND,0,0
2019,46,CC BY,11,0.2391304347826087
2019,46,CC BY-SA,0,0
2019,46,CC BY-NC,0,0
2019,46,CC BY-NC-SA,0,0
2019,46,CC BY-ND,0,0
2019,46,CC BY-NC-ND,0,0
2020,44,CC BY,15,0.3409090909090909
2020,44,CC BY-SA,0,0
2020,44,CC BY-NC,0,0
2020,44,CC BY-NC-SA,0,0
2020,44,CC BY-ND,0,0
2020,44,CC BY-NC-ND,0,0
2021,48,CC BY,13,0.2708333333333333
2021,48,CC BY-SA,0,0
2021,48,CC BY-NC,0,0
2021,48,CC BY-NC-SA,0,0
2021,48,CC BY-ND,0,0
2021,48,CC BY-NC-ND,0,0
2022,49,CC BY,3,0.061224489795918366
2022,49,CC BY-SA,0,0
2022,49,CC BY-NC,0,0
2022,49,CC BY-NC-SA,0,0
2022,49,CC BY-ND,0,0
2022,49,CC BY-NC-ND,0,0
2023,28,CC BY,2,0.07142857142857142
2023,28,CC BY-SA,0,0
2023,28,CC BY-NC,0,0
2023,28,CC BY-NC-SA,0,0
2023,28,CC BY-ND,0,0
2023,28,CC BY-NC-ND,0,0
