country_name_fct,cr_year,articles,cc_total,prop
India,'17,628,0,0
India,'18,992,13,0.01310483870967742
India,'19,1243,183,0.14722445695897024
India,'20,1765,244,0.13824362606232293
India,'21,2450,187,0.0763265306122449
India,'22,2009,6,0.0029865604778496766
India,'23,1876,3,0.0015991471215351812
China,'17,665,0,0
China,'18,1083,28,0.02585410895660203
China,'19,1242,170,0.13687600644122383
China,'20,1429,161,0.11266620013995801
China,'21,1575,184,0.11682539682539683
China,'22,1532,24,0.015665796344647518
China,'23,1563,27,0.01727447216890595
Iran,'17,226,0,0
Iran,'18,370,0,0
Iran,'19,462,44,0.09523809523809523
Iran,'20,668,53,0.07934131736526946
Iran,'21,744,39,0.05241935483870968
Iran,'22,595,1,0.0016806722689075631
Iran,'23,595,0,0
Italy,'17,389,3,0.007712082262210797
Italy,'18,572,35,0.06118881118881119
Italy,'19,493,146,0.2961460446247465
Italy,'20,438,161,0.3675799086757991
Italy,'21,421,83,0.19714964370546317
Italy,'22,391,7,0.017902813299232736
Italy,'23,259,5,0.019305019305019305
United States,'17,478,3,0.006276150627615063
United States,'18,551,32,0.05807622504537205
United States,'19,434,152,0.35023041474654376
United States,'20,409,156,0.38141809290953543
United States,'21,396,103,0.2601010101010101
United States,'22,356,12,0.033707865168539325
United States,'23,229,5,0.021834061135371178
Brazil,'17,173,0,0
Brazil,'18,273,9,0.03296703296703297
Brazil,'19,247,36,0.145748987854251
Brazil,'20,330,45,0.13636363636363635
Brazil,'21,323,39,0.12074303405572756
Brazil,'22,284,1,0.0035211267605633804
Brazil,'23,228,0,0
Turkey,'17,113,0,0
Turkey,'18,159,4,0.025157232704402517
Turkey,'19,204,30,0.14705882352941177
Turkey,'20,197,28,0.14213197969543148
Turkey,'21,312,33,0.10576923076923077
Turkey,'22,216,5,0.023148148148148147
Turkey,'23,202,6,0.0297029702970297
Egypt,'17,53,0,0
Egypt,'18,118,0,0
Egypt,'19,150,9,0.06
Egypt,'20,176,20,0.11363636363636363
Egypt,'21,175,17,0.09714285714285714
Egypt,'22,152,1,0.006578947368421052
Egypt,'23,98,0,0
Pakistan,'17,57,0,0
Pakistan,'18,116,1,0.008620689655172414
Pakistan,'19,117,14,0.11965811965811966
Pakistan,'20,157,13,0.08280254777070063
Pakistan,'21,177,9,0.05084745762711865
Pakistan,'22,136,0,0
Pakistan,'23,63,1,0.015873015873015872
Greece,'17,84,0,0
Greece,'18,120,3,0.025
Greece,'19,150,31,0.20666666666666667
Greece,'20,170,42,0.24705882352941178
Greece,'21,117,19,0.1623931623931624
Greece,'22,90,1,0.011111111111111112
Greece,'23,65,1,0.015384615384615385
Saudi Arabia,'17,47,0,0
Saudi Arabia,'18,78,1,0.01282051282051282
Saudi Arabia,'19,101,18,0.1782178217821782
Saudi Arabia,'20,134,12,0.08955223880597014
Saudi Arabia,'21,151,19,0.12582781456953643
Saudi Arabia,'22,128,1,0.0078125
Saudi Arabia,'23,114,1,0.008771929824561403
Spain,'17,131,1,0.007633587786259542
Spain,'18,184,10,0.05434782608695652
Spain,'19,124,25,0.20161290322580644
Spain,'20,114,23,0.20175438596491227
Spain,'21,81,12,0.14814814814814814
Spain,'22,71,4,0.056338028169014086
Spain,'23,45,1,0.022222222222222223
Malaysia,'17,63,0,0
Malaysia,'18,128,1,0.0078125
Malaysia,'19,76,11,0.14473684210526316
Malaysia,'20,114,15,0.13157894736842105
Malaysia,'21,113,12,0.10619469026548672
Malaysia,'22,117,0,0
Malaysia,'23,72,2,0.027777777777777776
Poland,'17,109,1,0.009174311926605505
Poland,'18,120,0,0
Poland,'19,127,12,0.09448818897637795
Poland,'20,99,16,0.16161616161616163
Poland,'21,53,8,0.1509433962264151
Poland,'22,54,4,0.07407407407407407
Poland,'23,28,0,0
United Kingdom,'17,110,1,0.00909090909090909
United Kingdom,'18,118,4,0.03389830508474576
United Kingdom,'19,86,25,0.29069767441860467
United Kingdom,'20,62,20,0.3225806451612903
United Kingdom,'21,66,9,0.13636363636363635
United Kingdom,'22,59,2,0.03389830508474576
United Kingdom,'23,61,0,0
Russia,'17,70,0,0
Russia,'18,87,2,0.022988505747126436
Russia,'19,93,22,0.23655913978494625
Russia,'20,67,11,0.16417910447761194
Russia,'21,84,5,0.05952380952380952
Russia,'22,67,1,0.014925373134328358
Russia,'23,71,2,0.028169014084507043
Mexico,'17,58,0,0
Mexico,'18,63,0,0
Mexico,'19,90,15,0.16666666666666666
Mexico,'20,81,11,0.13580246913580246
Mexico,'21,83,10,0.12048192771084337
Mexico,'22,87,1,0.011494252873563218
Mexico,'23,65,1,0.015384615384615385
Japan,'17,77,0,0
Japan,'18,107,1,0.009345794392523364
Japan,'19,60,14,0.23333333333333334
Japan,'20,120,24,0.2
Japan,'21,76,10,0.13157894736842105
Japan,'22,54,5,0.09259259259259259
Japan,'23,32,2,0.0625
Australia,'17,82,0,0
Australia,'18,80,7,0.0875
Australia,'19,68,24,0.35294117647058826
Australia,'20,69,16,0.2318840579710145
Australia,'21,62,13,0.20967741935483872
Australia,'22,39,0,0
