cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,94,Crossref,1,0.010638297872340425
2017,Germany,94,Unpaywall,0,0
2018,Germany,98,Crossref,2,0.02040816326530612
2018,Germany,98,Unpaywall,0,0
2019,Germany,52,Crossref,15,0.28846153846153844
2019,Germany,52,Unpaywall,0,0
2020,Germany,48,Crossref,17,0.3541666666666667
2020,Germany,48,Unpaywall,3,0.0625
2021,Germany,54,Crossref,16,0.2962962962962963
2021,Germany,54,Unpaywall,2,0.037037037037037035
2022,Germany,50,Crossref,2,0.04
2022,Germany,50,Unpaywall,2,0.04
2023,Germany,30,Crossref,2,0.06666666666666667
2023,Germany,30,Unpaywall,1,0.03333333333333333
