cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,5685,Crossref,14,0.0024626209322779246
2017,Global,5685,Unpaywall,0,0
2018,Global,6883,Crossref,194,0.02818538428011042
2018,Global,6883,Unpaywall,0,0
2019,Global,6897,Crossref,1322,0.1916775409598376
2019,Global,6897,Unpaywall,19,0.0027548209366391185
2020,Global,8429,Crossref,1460,0.17321153161703642
2020,Global,8429,Unpaywall,81,0.009609680863684897
2021,Global,10120,Crossref,1109,0.10958498023715416
2021,Global,10120,Unpaywall,123,0.012154150197628458
2022,Global,7680,Crossref,127,0.016536458333333334
2022,Global,7680,Unpaywall,117,0.015234375
2023,Global,10000,Crossref,428,0.0428
2023,Global,10000,Unpaywall,351,0.0351
