cr_year,jn_all,cc,cc_total,prop
2017,406,CC BY,0,0
2017,406,CC BY-SA,0,0
2017,406,CC BY-NC,8,0.019704433497536946
2017,406,CC BY-NC-SA,0,0
2017,406,CC BY-ND,0,0
2017,406,CC BY-NC-ND,0,0
2018,379,CC BY,0,0
2018,379,CC BY-SA,0,0
2018,379,CC BY-NC,6,0.0158311345646438
2018,379,CC BY-NC-SA,0,0
2018,379,CC BY-ND,0,0
2018,379,CC BY-NC-ND,0,0
2019,417,CC BY,0,0
2019,417,CC BY-SA,0,0
2019,417,CC BY-NC,22,0.05275779376498801
2019,417,CC BY-NC-SA,0,0
2019,417,CC BY-ND,0,0
2019,417,CC BY-NC-ND,0,0
2020,394,CC BY,3,0.007614213197969543
2020,394,CC BY-SA,0,0
2020,394,CC BY-NC,53,0.13451776649746192
2020,394,CC BY-NC-SA,0,0
2020,394,CC BY-ND,0,0
2020,394,CC BY-NC-ND,0,0
2021,392,CC BY,10,0.025510204081632654
2021,392,CC BY-SA,0,0
2021,392,CC BY-NC,83,0.21173469387755103
2021,392,CC BY-NC-SA,0,0
2021,392,CC BY-ND,0,0
2021,392,CC BY-NC-ND,0,0
2022,482,CC BY,25,0.05186721991701245
2022,482,CC BY-SA,0,0
2022,482,CC BY-NC,59,0.12240663900414937
2022,482,CC BY-NC-SA,0,0
2022,482,CC BY-ND,0,0
2022,482,CC BY-NC-ND,0,0
2023,368,CC BY,10,0.02717391304347826
2023,368,CC BY-SA,0,0
2023,368,CC BY-NC,74,0.20108695652173914
2023,368,CC BY-NC-SA,0,0
2023,368,CC BY-ND,0,0
2023,368,CC BY-NC-ND,0,0
2024,338,CC BY,17,0.05029585798816568
2024,338,CC BY-SA,0,0
2024,338,CC BY-NC,65,0.19230769230769232
2024,338,CC BY-NC-SA,0,0
2024,338,CC BY-ND,0,0
2024,338,CC BY-NC-ND,0,0
2025,419,CC BY,22,0.05250596658711217
2025,419,CC BY-SA,0,0
2025,419,CC BY-NC,59,0.14081145584725538
2025,419,CC BY-NC-SA,0,0
2025,419,CC BY-ND,0,0
2025,419,CC BY-NC-ND,2,0.00477326968973747
2026,34,CC BY,5,0.14705882352941177
2026,34,CC BY-SA,0,0
2026,34,CC BY-NC,4,0.11764705882352941
2026,34,CC BY-NC-SA,0,0
2026,34,CC BY-ND,0,0
2026,34,CC BY-NC-ND,0,0
