cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,189,Crossref,0,0
2017,Germany,189,Unpaywall,28,0.14814814814814814
2018,Germany,170,Crossref,1,0.0058823529411764705
2018,Germany,170,Unpaywall,16,0.09411764705882353
2019,Germany,182,Crossref,16,0.08791208791208792
2019,Germany,182,Unpaywall,36,0.1978021978021978
2020,Germany,219,Crossref,44,0.2009132420091324
2020,Germany,219,Unpaywall,44,0.2009132420091324
2021,Germany,204,Crossref,84,0.4117647058823529
2021,Germany,204,Unpaywall,83,0.4068627450980392
2022,Germany,183,Crossref,74,0.40437158469945356
2022,Germany,183,Unpaywall,72,0.39344262295081966
2023,Germany,109,Crossref,43,0.3944954128440367
2023,Germany,109,Unpaywall,39,0.3577981651376147
