cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,13129,Crossref,23,0.001751847056135273
2017,Global,13129,Unpaywall,1132,0.08622134206717953
2018,Global,12664,Crossref,43,0.0033954516740366393
2018,Global,12664,Unpaywall,1213,0.09578332280480101
2019,Global,13629,Crossref,386,0.028321960525350357
2019,Global,13629,Unpaywall,1408,0.1033091202582728
2020,Global,14600,Crossref,1880,0.12876712328767123
2020,Global,14600,Unpaywall,2070,0.14178082191780822
2021,Global,14285,Crossref,2024,0.1416870843542177
2021,Global,14285,Unpaywall,2091,0.1463773188659433
2022,Global,12285,Crossref,1586,0.1291005291005291
2022,Global,12285,Unpaywall,1612,0.1312169312169312
2023,Global,10841,Crossref,1518,0.140023983027396
2023,Global,10841,Unpaywall,1562,0.14408264920210312
2024,Global,11356,Crossref,1680,0.1479394152870729
2024,Global,11356,Unpaywall,1511,0.1330574145825995
