esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BMJ Publishing,Germany,TDM Support,1,0.8333333333333334,0.18181818181818182,0.21428571428571427,0.10752688172043011,0.21428571428571427,0.060240963855421686,0.25609756097560976,0.14457831325301204,0.4444444444444444
BMJ Publishing,Germany,ORCID,0.375,0.16666666666666666,0.9545454545454546,0.9642857142857143,0.9139784946236559,0.9166666666666666,0.9759036144578314,1,0.9518072289156626,1
BMJ Publishing,Germany,Funder info,0.375,0.5,0.5909090909090909,0.6428571428571429,0.6021505376344086,0.7142857142857143,0.6746987951807228,0.6097560975609756,0.5783132530120482,0.6666666666666666
BMJ Publishing,Germany,Open Abstracts,0,0.16666666666666666,0.5,0.7857142857142857,0.8387096774193549,0.7380952380952381,0.9036144578313253,0.7073170731707317,0.7710843373493976,0.5555555555555556
BMJ Publishing,Germany,Open Citations,1,1,1,0.9821428571428571,1,1,1,1,1,1
BMJ Publishing,Global,TDM Support,0.9099099099099099,0.7583333333333333,0.2460136674259681,0.1877076411960133,0.17038539553752535,0.19404915912031048,0.17456021650879566,0.1797820823244552,0.1812926957435628,0.3373493975903614
BMJ Publishing,Global,ORCID,0.3063063063063063,0.4083333333333333,0.8656036446469249,0.8870431893687708,0.8782961460446247,0.8855109961190168,0.8910690121786198,0.9134382566585957,0.9001576458223857,0.9216867469879518
BMJ Publishing,Global,Funder info,0.3783783783783784,0.75,0.6742596810933941,0.48726467331118495,0.5324543610547667,0.6461836998706338,0.6258457374830853,0.648910411622276,0.5733053074093537,0.5903614457831325
BMJ Publishing,Global,Open Abstracts,0.1891891891891892,0.3,0.7129840546697038,0.7868217054263565,0.7860040567951319,0.8027166882276844,0.7983761840324763,0.7966101694915254,0.7603783499737257,0.6686746987951807
BMJ Publishing,Global,Open Citations,1,1,0.9817767653758542,0.9900332225913622,0.9959432048681541,0.9987063389391979,0.9918809201623816,0.9921307506053268,0.9942196531791907,1
