cr_year,issn_l,collection,articles,oa_articles
2017,0003-4967,de,202,8
2017,0003-4967,global,4691,90
2017,0003-9888,de,5,0
2017,0003-9888,global,439,0
2017,0007-1161,de,12,0
2017,0007-1161,global,332,0
2017,0012-6543,de,0,0
2017,0012-6543,global,105,0
2017,0017-5749,de,30,0
2017,0017-5749,global,312,0
2017,0021-9746,de,2,0
2017,0021-9746,global,192,0
2017,0022-2593,de,5,0
2017,0022-2593,global,96,0
2017,0022-3050,de,17,0
2017,0022-3050,global,436,0
2017,0032-5473,de,0,0
2017,0032-5473,global,152,8
2017,0035-8665,de,0,0
2017,0035-8665,global,93,0
2017,0040-6376,de,7,0
2017,0040-6376,global,251,0
2017,0143-005X,de,2,0
2017,0143-005X,global,154,0
2017,0263-841X,de,0,0
2017,0263-841X,global,81,0
2017,0306-3674,de,24,0
2017,0306-3674,global,1001,0
2017,0306-6800,de,5,0
2017,0306-6800,global,181,0
2017,0964-4563,de,0,0
2017,0964-4563,global,137,0
2017,1048-891X,de,10,0
2017,1048-891X,global,292,0
2017,1081-5589,de,0,0
2017,1081-5589,global,126,12
2017,1098-7339,de,4,0
2017,1098-7339,global,184,0
2017,1351-0711,de,2,0
2017,1351-0711,global,132,0
2017,1353-8047,de,1,0
2017,1353-8047,global,117,0
2017,1355-6037,de,22,0
2017,1355-6037,global,421,0
2017,1356-5524,de,3,0
2017,1356-5524,global,107,0
2017,1359-2998,de,7,0
2017,1359-2998,global,170,0
2017,1362-0347,de,0,0
2017,1362-0347,global,67,0
2017,1367-6539,de,1,0
2017,1367-6539,global,88,0
2017,1368-4973,de,2,0
2017,1368-4973,global,180,0
2017,1468-215X,de,0,0
2017,1468-215X,global,75,0
2017,1472-0205,de,1,0
2017,1472-0205,global,285,0
2017,1474-7758,de,1,0
2017,1474-7758,global,134,0
2017,1743-0585,de,0,0
2017,1743-0585,global,112,0
2017,1756-1833,de,8,0
2017,1756-1833,global,3447,1
2017,1757-790X,de,7,0
2017,1757-790X,global,2003,0
2017,1759-8478,de,9,0
2017,1759-8478,global,188,0
2017,2041-4137,de,0,0
2017,2041-4137,global,65,0
2017,2044-5415,de,0,0
2017,2044-5415,global,143,0
2017,2045-435X,de,0,0
2017,2045-435X,global,178,2
2017,2047-9956,de,2,0
2017,2047-9956,global,118,0
2017,2055-642X,de,1,0
2017,2055-642X,global,36,0
2017,2056-6697,de,0,0
2017,2056-6697,global,76,0
2017,2398-631X,de,0,0
2017,2398-631X,global,23,0
2017,2515-1991,de,0,0
2017,2515-1991,global,29,0
2017,2515-446X,de,0,0
2017,2515-446X,global,1,0
2017,2633-3767,de,0,0
2017,2633-3767,global,1,0
2018,0003-4967,de,197,5
2018,0003-4967,global,4827,80
2018,0003-9888,de,5,0
2018,0003-9888,global,515,1
2018,0007-1161,de,13,0
2018,0007-1161,global,352,5
2018,0012-6543,de,0,0
2018,0012-6543,global,113,0
2018,0017-5749,de,25,0
2018,0017-5749,global,274,0
2018,0021-9746,de,2,0
2018,0021-9746,global,154,0
2018,0022-2593,de,7,0
2018,0022-2593,global,133,1
2018,0022-3050,de,22,0
2018,0022-3050,global,520,2
2018,0032-5473,de,1,1
2018,0032-5473,global,159,7
2018,0035-8665,de,2,0
2018,0035-8665,global,151,0
2018,0040-6376,de,2,0
2018,0040-6376,global,220,0
2018,0143-005X,de,8,0
2018,0143-005X,global,191,0
2018,0263-841X,de,0,0
2018,0263-841X,global,82,0
2018,0306-3674,de,4,0
2018,0306-3674,global,403,0
2018,0306-6800,de,2,0
2018,0306-6800,global,171,0
2018,0964-4563,de,0,0
2018,0964-4563,global,179,0
2018,1048-891X,de,3,0
2018,1048-891X,global,260,0
2018,1081-5589,de,0,0
2018,1081-5589,global,92,12
2018,1098-7339,de,2,0
2018,1098-7339,global,196,0
2018,1351-0711,de,2,0
2018,1351-0711,global,131,0
2018,1353-8047,de,0,0
2018,1353-8047,global,77,0
2018,1355-6037,de,10,0
2018,1355-6037,global,376,0
2018,1356-5524,de,0,0
2018,1356-5524,global,0,0
2018,1359-2998,de,5,0
2018,1359-2998,global,152,0
2018,1362-0347,de,0,0
2018,1362-0347,global,46,0
2018,1367-6539,de,0,0
2018,1367-6539,global,80,0
2018,1368-4973,de,1,0
2018,1368-4973,global,126,0
2018,1468-215X,de,0,0
2018,1468-215X,global,65,3
2018,1472-0205,de,0,0
2018,1472-0205,global,205,0
2018,1474-7758,de,2,0
2018,1474-7758,global,127,0
2018,1743-0585,de,0,0
2018,1743-0585,global,107,0
2018,1756-1833,de,9,0
2018,1756-1833,global,3086,0
2018,1757-790X,de,13,0
2018,1757-790X,global,2319,0
2018,1759-8478,de,25,0
2018,1759-8478,global,255,0
2018,2041-4137,de,2,0
2018,2041-4137,global,61,0
2018,2044-5415,de,1,0
2018,2044-5415,global,133,0
2018,2045-435X,de,1,0
2018,2045-435X,global,164,4
2018,2047-9956,de,1,0
2018,2047-9956,global,118,1
2018,2055-642X,de,1,0
2018,2055-642X,global,29,0
2018,2056-6697,de,0,0
2018,2056-6697,global,87,3
2018,2398-631X,de,0,0
2018,2398-631X,global,44,0
2018,2515-1991,de,0,0
2018,2515-1991,global,84,0
2018,2515-446X,de,4,0
2018,2515-446X,global,144,0
2018,2633-3767,de,0,0
2018,2633-3767,global,34,2
2019,0003-4967,de,221,2
2019,0003-4967,global,4835,78
2019,0003-9888,de,23,0
2019,0003-9888,global,584,13
2019,0007-1161,de,8,1
2019,0007-1161,global,337,25
2019,0012-6543,de,0,0
2019,0012-6543,global,91,0
2019,0017-5749,de,31,10
2019,0017-5749,global,321,54
2019,0021-9746,de,1,0
2019,0021-9746,global,183,4
2019,0022-2593,de,5,1
2019,0022-2593,global,117,10
2019,0022-3050,de,14,0
2019,0022-3050,global,702,9
2019,0032-5473,de,0,0
2019,0032-5473,global,306,10
2019,0035-8665,de,0,0
2019,0035-8665,global,38,0
2019,0040-6376,de,6,0
2019,0040-6376,global,206,4
2019,0143-005X,de,5,0
2019,0143-005X,global,180,14
2019,0263-841X,de,0,0
2019,0263-841X,global,92,0
2019,0306-3674,de,1,0
2019,0306-3674,global,287,19
2019,0306-6800,de,5,1
2019,0306-6800,global,238,10
2019,0964-4563,de,0,0
2019,0964-4563,global,155,2
2019,1048-891X,de,6,0
2019,1048-891X,global,244,0
2019,1081-5589,de,1,1
2019,1081-5589,global,98,13
2019,1098-7339,de,1,0
2019,1098-7339,global,339,3
2019,1351-0711,de,3,0
2019,1351-0711,global,137,4
2019,1353-8047,de,0,0
2019,1353-8047,global,93,11
2019,1355-6037,de,12,0
2019,1355-6037,global,358,11
2019,1356-5524,de,0,0
2019,1356-5524,global,0,0
2019,1359-2998,de,6,1
2019,1359-2998,global,132,14
2019,1362-0347,de,1,0
2019,1362-0347,global,41,2
2019,1367-6539,de,0,0
2019,1367-6539,global,171,1
2019,1368-4973,de,1,0
2019,1368-4973,global,153,14
2019,1468-215X,de,1,0
2019,1468-215X,global,71,17
2019,1472-0205,de,1,0
2019,1472-0205,global,345,5
2019,1474-7758,de,2,0
2019,1474-7758,global,127,1
2019,1743-0585,de,0,0
2019,1743-0585,global,115,3
2019,1756-1833,de,14,1
2019,1756-1833,global,3316,21
2019,1757-790X,de,12,0
2019,1757-790X,global,2343,2
2019,1759-8478,de,11,0
2019,1759-8478,global,251,5
2019,2041-4137,de,0,0
2019,2041-4137,global,120,5
2019,2044-5415,de,1,1
2019,2044-5415,global,169,22
2019,2045-435X,de,4,1
2019,2045-435X,global,177,19
2019,2047-9956,de,4,0
2019,2047-9956,global,111,7
2019,2055-642X,de,0,0
2019,2055-642X,global,23,1
2019,2056-6697,de,0,0
