cr_year,jn_all,cc,cc_total,prop
2017,763,CC BY,23,0.03014416775884666
2017,763,CC BY-SA,0,0
2017,763,CC BY-NC,0,0
2017,763,CC BY-NC-SA,1,0.001310615989515072
2017,763,CC BY-ND,0,0
2017,763,CC BY-NC-ND,2,0.002621231979030144
2018,819,CC BY,37,0.045177045177045176
2018,819,CC BY-SA,0,0
2018,819,CC BY-NC,1,0.001221001221001221
2018,819,CC BY-NC-SA,1,0.001221001221001221
2018,819,CC BY-ND,0,0
2018,819,CC BY-NC-ND,3,0.003663003663003663
2019,693,CC BY,193,0.2784992784992785
2019,693,CC BY-SA,0,0
2019,693,CC BY-NC,1,0.001443001443001443
2019,693,CC BY-NC-SA,8,0.011544011544011544
2019,693,CC BY-ND,0,0
2019,693,CC BY-NC-ND,13,0.01875901875901876
2020,794,CC BY,256,0.3224181360201511
2020,794,CC BY-SA,0,0
2020,794,CC BY-NC,1,0.0012594458438287153
2020,794,CC BY-NC-SA,22,0.027707808564231738
2020,794,CC BY-ND,0,0
2020,794,CC BY-NC-ND,24,0.030226700251889168
2021,831,CC BY,393,0.4729241877256318
2021,831,CC BY-SA,0,0
2021,831,CC BY-NC,0,0
2021,831,CC BY-NC-SA,16,0.019253910950661854
2021,831,CC BY-ND,0,0
2021,831,CC BY-NC-ND,25,0.030084235860409144
2022,805,CC BY,430,0.5341614906832298
2022,805,CC BY-SA,2,0.002484472049689441
2022,805,CC BY-NC,9,0.011180124223602485
2022,805,CC BY-NC-SA,21,0.02608695652173913
2022,805,CC BY-ND,0,0
2022,805,CC BY-NC-ND,23,0.02857142857142857
2023,854,CC BY,451,0.5281030444964872
2023,854,CC BY-SA,5,0.00585480093676815
2023,854,CC BY-NC,15,0.01756440281030445
2023,854,CC BY-NC-SA,20,0.0234192037470726
2023,854,CC BY-ND,2,0.00234192037470726
2023,854,CC BY-NC-ND,26,0.03044496487119438
2024,489,CC BY,329,0.6728016359918201
2024,489,CC BY-SA,4,0.0081799591002045
2024,489,CC BY-NC,10,0.02044989775051125
2024,489,CC BY-NC-SA,8,0.016359918200409
2024,489,CC BY-ND,0,0
2024,489,CC BY-NC-ND,13,0.026584867075664622
