cr_year,cc,cc_total,jn_all,prop
2017,CC BY,513,28303,0.018125287072041835
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,0,NA,0
2017,CC BY-NC-SA,32,28303,0.0011306221955269759
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,49,28303,0.0017312652369006819
2018,CC BY,723,28997,0.02493361382211953
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,3,28997,1.0345897851501879e-4
2018,CC BY-NC-SA,31,28997,0.001069076111321861
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,55,28997,0.0018967479394420112
2019,CC BY,1162,28880,0.04023545706371191
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,3,28880,1.038781163434903e-4
2019,CC BY-NC-SA,66,28880,0.002285318559556787
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,105,28880,0.0036357340720221606
2020,CC BY,3198,30022,0.1065218839517687
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,5,30022,1.6654453400839384e-4
2020,CC BY-NC-SA,129,30022,0.0042968489774165616
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,197,30022,0.006561854639930718
2021,CC BY,4878,29185,0.16714065444577694
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,17,29185,5.824910056535891e-4
2021,CC BY-NC-SA,207,29185,0.007092684598252527
2021,CC BY-ND,1,29185,3.42641768031523e-5
2021,CC BY-NC-ND,351,29185,0.012026726057906459
2022,CC BY,7307,27296,0.2676949003516999
2022,CC BY-SA,14,27296,5.128956623681126e-4
2022,CC BY-NC,65,27296,0.0023813012895662366
2022,CC BY-NC-SA,231,27296,0.008462778429073857
2022,CC BY-ND,6,27296,2.198124267291911e-4
2022,CC BY-NC-ND,411,27296,0.015057151230949589
2023,CC BY,8504,27350,0.31093235831809873
2023,CC BY-SA,35,27350,0.001279707495429616
2023,CC BY-NC,124,27350,0.00453382084095064
2023,CC BY-NC-SA,286,27350,0.010457038391224863
2023,CC BY-ND,13,27350,4.7531992687385743e-4
2023,CC BY-NC-ND,493,27350,0.01802559414990859
2024,CC BY,7857,21383,0.3674414254314175
2024,CC BY-SA,23,21383,0.0010756208202777908
2024,CC BY-NC,191,21383,0.008932329420567741
2024,CC BY-NC-SA,277,21383,0.012954215965954263
2024,CC BY-ND,18,21383,8.417902071739232e-4
2024,CC BY-NC-ND,491,21383,0.022962166206799795
