cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,656,Crossref,20,0.03048780487804878
2017,Germany,656,Unpaywall,19,0.028963414634146343
2018,Germany,710,Crossref,36,0.05070422535211268
2018,Germany,710,Unpaywall,36,0.05070422535211268
2019,Germany,629,Crossref,205,0.32591414944356123
2019,Germany,629,Unpaywall,164,0.26073131955484896
2020,Germany,734,Crossref,290,0.39509536784741145
2020,Germany,734,Unpaywall,284,0.3869209809264305
2021,Germany,762,Crossref,409,0.536745406824147
2021,Germany,762,Unpaywall,406,0.5328083989501312
2022,Germany,742,Crossref,466,0.628032345013477
2022,Germany,742,Unpaywall,442,0.5956873315363881
2023,Germany,759,Crossref,467,0.6152832674571805
2023,Germany,759,Unpaywall,429,0.5652173913043478
2024,Germany,90,Crossref,66,0.7333333333333333
2024,Germany,90,Unpaywall,64,0.7111111111111111
