cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,27510,Crossref,566,0.020574336604870958
2017,Global,27510,Unpaywall,595,0.021628498727735368
2018,Global,28451,Crossref,818,0.028751186250043935
2018,Global,28451,Unpaywall,829,0.029137815893993183
2019,Global,28366,Crossref,1343,0.04734541352323204
2019,Global,28366,Unpaywall,1287,0.04537121906507791
2020,Global,29683,Crossref,3540,0.11926018259609877
2020,Global,29683,Unpaywall,3449,0.11619445473840245
2021,Global,28755,Crossref,5450,0.1895322552599548
2021,Global,28755,Unpaywall,5222,0.18160319944357503
2022,Global,26642,Crossref,8056,0.30237970122363184
2022,Global,26642,Unpaywall,7400,0.2777569251557691
2023,Global,25901,Crossref,8963,0.3460484151191074
2023,Global,25901,Unpaywall,7728,0.29836685842245475
2024,Global,3330,Crossref,1292,0.387987987987988
2024,Global,3330,Unpaywall,1022,0.3069069069069069
