country_name_fct,cr_year,articles,cc_total,prop
France,'17,625,6,0.0096
France,'18,653,200,0.30627871362940273
France,'19,719,472,0.6564673157162726
France,'20,735,533,0.7251700680272108
France,'21,760,575,0.756578947368421
France,'22,680,540,0.7941176470588235
France,'23,230,157,0.6826086956521739
Germany,'17,451,20,0.04434589800443459
Germany,'18,478,30,0.06276150627615062
Germany,'19,530,141,0.2660377358490566
Germany,'20,509,225,0.44204322200392926
Germany,'21,528,282,0.5340909090909091
Germany,'22,516,378,0.7325581395348837
Germany,'23,143,133,0.9300699300699301
China,'17,468,3,0.00641025641025641
China,'18,461,5,0.010845986984815618
China,'19,526,10,0.019011406844106463
China,'20,441,16,0.036281179138321996
China,'21,495,68,0.13737373737373737
China,'22,531,166,0.3126177024482109
China,'23,152,38,0.25
Italy,'17,272,3,0.011029411764705883
Italy,'18,247,2,0.008097165991902834
Italy,'19,272,8,0.029411764705882353
Italy,'20,286,13,0.045454545454545456
Italy,'21,297,45,0.15151515151515152
Italy,'22,250,137,0.548
Italy,'23,97,90,0.9278350515463918
Spain,'17,171,1,0.005847953216374269
Spain,'18,162,4,0.024691358024691357
Spain,'19,188,4,0.02127659574468085
Spain,'20,195,7,0.035897435897435895
Spain,'21,239,23,0.09623430962343096
Spain,'22,200,109,0.545
Spain,'23,70,65,0.9285714285714286
United States,'17,216,4,0.018518518518518517
United States,'18,160,8,0.05
United States,'19,151,16,0.10596026490066225
United States,'20,168,22,0.13095238095238096
United States,'21,245,62,0.2530612244897959
United States,'22,145,63,0.43448275862068964
United States,'23,62,39,0.6290322580645161
India,'17,152,0,0
India,'18,145,2,0.013793103448275862
India,'19,151,1,0.006622516556291391
India,'20,175,6,0.03428571428571429
India,'21,271,28,0.1033210332103321
India,'22,188,19,0.10106382978723404
India,'23,63,6,0.09523809523809523
United Kingdom,'17,187,12,0.06417112299465241
United Kingdom,'18,164,37,0.22560975609756098
United Kingdom,'19,156,29,0.1858974358974359
United Kingdom,'20,168,27,0.16071428571428573
United Kingdom,'21,162,47,0.29012345679012347
United Kingdom,'22,77,36,0.4675324675324675
United Kingdom,'23,28,21,0.75
Netherlands,'17,125,4,0.032
Netherlands,'18,136,15,0.11029411764705882
Netherlands,'19,155,6,0.03870967741935484
Netherlands,'20,142,16,0.11267605633802817
Netherlands,'21,143,18,0.1258741258741259
Netherlands,'22,149,82,0.5503355704697986
Netherlands,'23,38,36,0.9473684210526315
Russia,'17,133,2,0.015037593984962405
Russia,'18,89,2,0.02247191011235955
Russia,'19,82,7,0.08536585365853659
Russia,'20,148,9,0.060810810810810814
Russia,'21,97,21,0.21649484536082475
Russia,'22,90,28,0.3111111111111111
Russia,'23,49,14,0.2857142857142857
Switzerland,'17,92,1,0.010869565217391304
Switzerland,'18,80,4,0.05
Switzerland,'19,76,7,0.09210526315789473
Switzerland,'20,92,11,0.11956521739130435
Switzerland,'21,110,26,0.23636363636363636
Switzerland,'22,120,68,0.5666666666666667
Switzerland,'23,30,29,0.9666666666666667
Belgium,'17,82,0,0
Belgium,'18,60,3,0.05
Belgium,'19,74,1,0.013513513513513514
Belgium,'20,82,4,0.04878048780487805
Belgium,'21,80,6,0.075
Belgium,'22,88,52,0.5909090909090909
Belgium,'23,20,16,0.8
Brazil,'17,67,1,0.014925373134328358
