cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,168,Crossref,17,0.10119047619047619
2017,Germany,168,Unpaywall,31,0.18452380952380953
2018,Germany,161,Crossref,21,0.13043478260869565
2018,Germany,161,Unpaywall,21,0.13043478260869565
2019,Germany,161,Crossref,12,0.07453416149068323
2019,Germany,161,Unpaywall,12,0.07453416149068323
2020,Germany,132,Crossref,65,0.49242424242424243
2020,Germany,132,Unpaywall,65,0.49242424242424243
2021,Germany,181,Crossref,125,0.6906077348066298
2021,Germany,181,Unpaywall,125,0.6906077348066298
2022,Germany,122,Crossref,93,0.7622950819672131
2022,Germany,122,Unpaywall,94,0.7704918032786885
2023,Germany,99,Crossref,84,0.8484848484848485
2023,Germany,99,Unpaywall,85,0.8585858585858586
2024,Germany,85,Crossref,55,0.6470588235294118
2024,Germany,85,Unpaywall,57,0.6705882352941176
2025,Germany,96,Crossref,68,0.7083333333333334
2025,Germany,96,Unpaywall,68,0.7083333333333334
2026,Germany,62,Crossref,48,0.7741935483870968
2026,Germany,62,Unpaywall,51,0.8225806451612904
