cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,4468,Crossref,79,0.01768128916741271
2017,Global,4468,Unpaywall,159,0.0355863921217547
2018,Global,4301,Crossref,420,0.09765170890490583
2018,Global,4301,Unpaywall,416,0.09672169262962102
2019,Global,4530,Crossref,838,0.18498896247240618
2019,Global,4530,Unpaywall,843,0.18609271523178808
2020,Global,4587,Crossref,1050,0.2289077828646174
2020,Global,4587,Unpaywall,1059,0.23086984957488554
2021,Global,4847,Crossref,1367,0.2820301217247782
2021,Global,4847,Unpaywall,1372,0.2830616876418403
2022,Global,4374,Crossref,2044,0.4673068129858253
2022,Global,4374,Unpaywall,1951,0.4460448102423411
2023,Global,1789,Crossref,996,0.5567356064840693
2023,Global,1789,Unpaywall,578,0.32308552263834545
