esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
EDP Sciences,Germany,TDM Support,1,0.5757575757575758,0.06944444444444445,0.25892857142857145,0.36917562724014336,0.19525065963060687,0.19553072625698323,0.1377245508982036
EDP Sciences,Germany,ORCID,0.2,0.2727272727272727,0.4861111111111111,0.53125,0.5985663082437276,0.7176781002638523,0.770949720670391,0.9520958083832335
EDP Sciences,Germany,Funder info,0,0.12121212121212122,0.19444444444444445,0.20535714285714285,0.5448028673835126,0.43007915567282323,0.4245810055865922,0.6047904191616766
EDP Sciences,Germany,Open Abstracts,0,0.45454545454545453,0.9513888888888888,0.9776785714285714,0.982078853046595,0.9709762532981531,0.9553072625698324,0.9760479041916168
EDP Sciences,Germany,Open Citations,1,0.9696969696969697,0.9930555555555556,0.9910714285714286,0.992831541218638,0.9815303430079155,0.9804469273743017,0.9880239520958084
EDP Sciences,Global,TDM Support,0.9493670886075949,0.27380952380952384,0.1026252983293556,0.14857142857142858,0.20190197512801755,0.09026548672566372,0.06869009584664537,0.06084656084656084
EDP Sciences,Global,ORCID,0.1518987341772152,0.2714285714285714,0.37589498806682575,0.46285714285714286,0.5830285296269203,0.6407079646017699,0.6894568690095847,0.882010582010582
EDP Sciences,Global,Funder info,0,0.10714285714285714,0.17780429594272076,0.20095238095238097,0.42209217264081933,0.38097345132743365,0.3718849840255591,0.5571428571428572
EDP Sciences,Global,Open Abstracts,0.05063291139240506,0.6547619047619048,0.8114558472553699,0.9038095238095238,0.9319678127286027,0.9513274336283186,0.9613418530351437,0.9666666666666667
EDP Sciences,Global,Open Citations,1,0.9357142857142857,0.9570405727923628,0.959047619047619,0.9648866130212144,0.9712389380530974,0.9792332268370607,0.9851851851851852
