cr_year,cc,cc_total,jn_all,prop
2017,CC BY,6712,496910,0.013507476202934132
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,80,496910,1.6099494878348193e-4
2017,CC BY-NC-SA,17,496910,3.4211426616489905e-5
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,7894,496910,0.015886176571210078
2018,CC BY,7248,514596,0.01408483548259217
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,147,514596,2.8566098453932797e-4
2018,CC BY-NC-SA,12,514596,2.331926404402677e-5
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,9596,514596,0.01864763814720674
2019,CC BY,7902,536369,0.014732395048930867
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,171,536369,3.188103712183217e-4
2019,CC BY-NC-SA,11,536369,2.050826949357625e-5
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,11927,536369,0.022236557295443996
2020,CC BY,13550,569253,0.023803124445545304
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,173,569253,3.0390705011655627e-4
2020,CC BY-NC-SA,17,569253,2.98636985663668e-5
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,15374,569253,0.027007323632901363
2021,CC BY,25273,596684,0.04235575279377359
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,213,596684,3.569728700618753e-4
2021,CC BY-NC-SA,6,596684,1.0055573804559868e-5
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,21157,596684,0.03545762916384552
2022,CC BY,34645,594076,0.058317454332442314
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,1293,594076,0.002176489203401585
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,25694,594076,0.04325035853998478
2023,CC BY,32186,457969,0.07027986610447431
2023,CC BY-SA,11,457969,2.4019092995377415e-5
2023,CC BY-NC,1582,457969,0.0034543822835170065
2023,CC BY-NC-SA,5,457969,1.0917769543353371e-5
2023,CC BY-ND,2,457969,4.367107817341348e-6
2023,CC BY-NC-ND,23254,457969,0.050776362592227856
