cr_year,country_name,cc_total,articles,prop
2017,United Arab Emirates,8,374,0.0213903743315508
2017,Afghanistan,0,5,0
2017,Antigua & Barbuda,0,6,0
2017,Albania,1,19,0.05263157894736842
2017,Armenia,1,79,0.012658227848101266
2017,Angola,0,4,0
2017,Argentina,8,2072,0.003861003861003861
2017,Austria,266,2501,0.10635745701719312
2017,Australia,300,12219,0.024551927326295114
2017,Azerbaijan,1,67,0.014925373134328358
2017,Bosnia & Herzegovina,0,51,0
2017,Barbados,0,7,0
2017,Bangladesh,3,371,0.008086253369272238
2017,Belgium,189,4179,0.04522613065326633
2017,Burkina Faso,1,43,0.023255813953488372
2017,Bulgaria,3,335,0.008955223880597015
2017,Bahrain,1,21,0.047619047619047616
2017,Burundi,0,12,0
2017,Benin,2,34,0.058823529411764705
2017,Brunei,0,23,0
2017,Bolivia,0,21,0
2017,Brazil,78,10815,0.007212205270457697
2017,Bahamas,1,9,0.1111111111111111
2017,Bhutan,0,4,0
2017,Botswana,1,43,0.023255813953488372
2017,Belarus,1,145,0.006896551724137931
2017,Belize,0,2,0
2017,Canada,429,13160,0.03259878419452888
2017,Congo - Kinshasa,4,40,0.1
2017,Central African Republic,0,3,0
2017,Congo - Brazzaville,1,18,0.05555555555555555
2017,Switzerland,341,4528,0.07530918727915194
2017,Côte d’Ivoire,1,70,0.014285714285714285
2017,Chile,13,1429,0.009097270818754374
2017,Cameroon,10,193,0.05181347150259067
2017,China,629,81802,0.007689298550157698
2017,Colombia,16,1055,0.015165876777251185
2017,Costa Rica,1,79,0.012658227848101266
2017,Cuba,0,101,0
2017,Cape Verde,0,1,0
2017,Curaçao,0,2,0
2017,Cyprus,10,333,0.03003003003003003
2017,Czechia,39,2450,0.015918367346938776
2017,Germany,914,16872,0.054172593646277856
2017,Djibouti,0,5,0
2017,Denmark,161,3098,0.05196901226597805
2017,Dominica,0,2,0
2017,Dominican Republic,2,12,0.16666666666666666
2017,Algeria,9,1135,0.007929515418502203
2017,Ecuador,4,187,0.0213903743315508
2017,Estonia,6,242,0.024793388429752067
2017,Egypt,52,2622,0.019832189168573607
2017,Eritrea,0,2,0
2017,Spain,271,17079,0.015867439545640846
2017,Ethiopia,13,210,0.06190476190476191
2017,Finland,152,2254,0.06743566992014197
2017,Fiji,0,28,0
2017,Falkland Islands,0,1,0
2017,Faroe Islands,0,7,0
2017,France,357,21199,0.016840417000801924
2017,Gabon,0,11,0
2017,United Kingdom,3833,21867,0.17528696208899255
2017,Grenada,0,30,0
2017,Georgia,0,38,0
2017,French Guiana,0,14,0
2017,Ghana,2,156,0.01282051282051282
2017,Gibraltar,0,1,0
2017,Greenland,0,4,0
2017,Gambia,7,12,0.5833333333333334
2017,Guinea,0,6,0
2017,Guadeloupe,0,33,0
2017,Greece,16,2510,0.006374501992031873
2017,Guatemala,0,7,0
2017,Guam,1,8,0.125
2017,Guinea-Bissau,0,5,0
2017,Guyana,0,1,0
2017,Hong Kong SAR China,28,2146,0.0130475302889096
2017,Honduras,0,9,0
2017,Croatia,14,507,0.027613412228796843
2017,Haiti,0,3,0
2017,Hungary,26,1253,0.020750199521149242
2017,Indonesia,25,516,0.04844961240310078
2017,Ireland,43,1544,0.027849740932642485
2017,Israel,36,2580,0.013953488372093023
2017,India,89,18061,0.004927744864625436
2017,Iraq,10,382,0.02617801047120419
2017,Iran,25,9979,0.0025052610482012225
2017,Iceland,8,110,0.07272727272727272
2017,Italy,425,15583,0.02727331065905153
2017,Jersey,0,5,0
2017,Jamaica,0,34,0
2017,Jordan,1,240,0.004166666666666667
2017,Japan,572,17567,0.03256105197244834
2017,Kenya,32,177,0.1807909604519774
2017,Kyrgyzstan,0,21,0
2017,Cambodia,2,23,0.08695652173913043
2017,Kiribati,0,1,0
2017,St. Kitts & Nevis,1,14,0.07142857142857142
2017,North Korea,0,1,0
2017,South Korea,136,12617,0.010779107553301102
2017,Kuwait,1,140,0.007142857142857143
2017,Cayman Islands,0,1,0
2017,Kazakhstan,2,134,0.014925373134328358
2017,Laos,0,4,0
2017,Lebanon,4,383,0.010443864229765013
2017,Liechtenstein,0,17,0
2017,Sri Lanka,5,151,0.033112582781456956
2017,Liberia,0,2,0
2017,Lithuania,8,369,0.02168021680216802
2017,Luxembourg,17,143,0.11888111888111888
2017,Latvia,0,113,0
2017,Libya,1,22,0.045454545454545456
2017,Morocco,8,1058,0.007561436672967864
2017,Monaco,0,25,0
2017,Moldova,2,41,0.04878048780487805
2017,Montenegro,0,30,0
2017,Madagascar,1,25,0.04
2017,North Macedonia,0,53,0
2017,Mali,2,18,0.1111111111111111
2017,Myanmar (Burma),2,23,0.08695652173913043
2017,Mongolia,0,16,0
2017,Macao SAR China,1,191,0.005235602094240838
