country_name_fct,cr_year,articles,cc_total,prop
China,'17,81990,560,0.0068301012318575435
China,'18,99535,759,0.007625458381473853
China,'19,116475,1379,0.01183945052586392
China,'20,134509,2157,0.016036101673493966
China,'21,144970,2772,0.019121197489135683
China,'22,168425,4509,0.026771560041561525
China,'23,193299,6379,0.033000688053223245
China,'24,144367,5987,0.04147069621173814
United States,'17,90650,2776,0.030623276337562053
United States,'18,91034,3061,0.033624799525452026
United States,'19,90487,3304,0.036513532330611026
United States,'20,93865,4051,0.04315772652213285
United States,'21,91096,6169,0.06771976815666989
United States,'22,79807,7266,0.09104464520656083
United States,'23,78585,8040,0.10230960106890628
United States,'24,49370,6231,0.12621024913915332
India,'17,18050,95,0.005263157894736842
India,'18,19891,70,0.0035191795284299433
India,'19,20129,127,0.00630930498286055
India,'20,24848,155,0.006237926593689633
India,'21,29800,251,0.00842281879194631
India,'22,29460,342,0.011608961303462322
India,'23,29928,558,0.018644747393744988
India,'24,17410,479,0.027512923607122344
United Kingdom,'17,21299,3824,0.17953894549039862
United Kingdom,'18,21472,3937,0.18335506706408347
United Kingdom,'19,21690,3426,0.15795297372060857
United Kingdom,'20,22082,3251,0.14722398333484285
United Kingdom,'21,22204,3612,0.1626733921815889
United Kingdom,'22,18553,7532,0.4059720799870641
United Kingdom,'23,17033,10169,0.5970175541595726
United Kingdom,'24,10735,6528,0.608104331625524
France,'17,19340,287,0.01483971044467425
France,'18,19082,349,0.018289487475107433
France,'19,16808,429,0.025523560209424083
France,'20,17064,531,0.031118143459915613
France,'21,16996,755,0.04442221699223347
France,'22,14992,928,0.061899679829242264
France,'23,16591,1137,0.06853113133626665
France,'24,9688,2091,0.2158340214698596
Spain,'17,16319,270,0.016545131441877567
Spain,'18,16411,378,0.02303333130217537
Spain,'19,16497,484,0.029338667636539976
Spain,'20,16848,622,0.036918328584995254
Spain,'21,16803,3373,0.20073796345890615
Spain,'22,15039,6010,0.3996276348161447
Spain,'23,15220,7113,0.4673455978975033
Spain,'24,9927,4868,0.4903797723380679
Italy,'17,15723,426,0.027094066017935507
Italy,'18,15875,572,0.03603149606299213
Italy,'19,15051,652,0.04331938077204173
Italy,'20,16248,776,0.04775972427375677
Italy,'21,15861,1109,0.06991992938654562
Italy,'22,13510,1322,0.09785344189489267
Italy,'23,13702,5552,0.4051963217048606
Italy,'24,9057,4934,0.5447719995583526
Germany,'17,16450,893,0.054285714285714284
Germany,'18,16450,1078,0.06553191489361702
Germany,'19,15870,1263,0.07958412098298677
Germany,'20,15017,1618,0.10774455616967436
Germany,'21,15241,2484,0.16298143166458895
Germany,'22,13328,2843,0.21331032412965187
Germany,'23,13070,3152,0.24116296863045142
Germany,'24,7947,4651,0.5852522964640745
Japan,'17,17401,567,0.03258433423366473
Japan,'18,15399,673,0.04370413663224885
Japan,'19,15169,765,0.050431801700837234
Japan,'20,15317,1057,0.06900829144088268
Japan,'21,14706,1620,0.11015911872705018
Japan,'22,13266,1860,0.14020805065581185
Japan,'23,12639,1781,0.14091304691826886
Japan,'24,8147,1547,0.18988584755124585
Canada,'17,12973,426,0.03283743158868419
Canada,'18,13610,468,0.034386480529022774
Canada,'19,13449,554,0.041192653728901775
Canada,'20,13896,729,0.052461139896373056
Canada,'21,14006,1030,0.07353991146651435
Canada,'22,12491,1165,0.09326715234969178
Canada,'23,11846,1259,0.10628060104676684
Canada,'24,7380,2477,0.33563685636856366
South Korea,'17,12527,130,0.010377584417657858
South Korea,'18,12549,137,0.010917204558132122
South Korea,'19,12563,221,0.017591339648173207
South Korea,'20,12107,329,0.027174361939373917
South Korea,'21,12448,751,0.060330976863753216
South Korea,'22,11764,972,0.08262495749744984
