cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,16861,Crossref,898,0.05325900005930846
2017,Germany,16861,Unpaywall,905,0.05367415930253247
2018,Germany,16688,Crossref,1079,0.06465723873441995
2018,Germany,16688,Unpaywall,1121,0.06717401725790988
2019,Germany,16290,Crossref,1264,0.07759361571516267
2019,Germany,16290,Unpaywall,1312,0.08054020871700429
2020,Germany,15375,Crossref,1653,0.10751219512195122
2020,Germany,15375,Unpaywall,1644,0.10692682926829268
2021,Germany,15617,Crossref,2488,0.1593135685470961
2021,Germany,15617,Unpaywall,2453,0.15707242107959274
2022,Germany,13450,Crossref,2844,0.21144981412639405
2022,Germany,13450,Unpaywall,2550,0.1895910780669145
2023,Germany,8209,Crossref,1745,0.21257156779144842
2023,Germany,8209,Unpaywall,1142,0.1391156048239737
