cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,492499,Crossref,14702,0.029851837262613732
2017,Global,492499,Unpaywall,17142,0.034806162042968616
2018,Global,511590,Crossref,16964,0.03315936589847339
2018,Global,511590,Unpaywall,20188,0.039461287359017966
2019,Global,533211,Crossref,19929,0.037375447993383486
2019,Global,533211,Unpaywall,22815,0.04278793948361906
2020,Global,564864,Crossref,28853,0.051079551892136865
2020,Global,564864,Unpaywall,32109,0.05684377124405166
2021,Global,591083,Crossref,46438,0.07856426254857608
2021,Global,591083,Unpaywall,48195,0.08153677233146614
2022,Global,586785,Crossref,61072,0.10407900679124381
2022,Global,586785,Unpaywall,55745,0.095000724285726465
2023,Global,594771,Crossref,78238,0.13154306447355368
2023,Global,594771,Unpaywall,77674,0.13059480035173202
2024,Global,445757,Crossref,73047,0.16387179561958645
2024,Global,445757,Unpaywall,70384,0.15789768865099146
