esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025
Elsevier,Germany,TDM Support,1,1,1,1,1,0.9993067590987869,0.9977938859123857,0.9993359011820959,0.9992104224240032
Elsevier,Germany,ORCID,0.21436343852013057,0.336986301369863,0.4205168363351605,0.34803625377643505,0.4974338728780103,0.517157712305026,0.6630948629057674,0.6606455040510028,0.6300829056454796
Elsevier,Germany,Funder info,0.5843307943416758,0.6840182648401827,0.7243539545810493,0.7534743202416918,0.6715357283853138,0.4506065857885615,0.47557516545855655,0.5535927746048612,0.49703908409001185
Elsevier,Germany,Open Abstracts,0,0,7.830853563038371e-4,0.0030211480362537764,0.002368732727990525,0.0020797227036395147,0.0028364323983611725,0.0010625581086465667,7.895775759968417e-4
Elsevier,Germany,Open Citations,0.9956474428726877,0.9981735159817352,0.9960845732184808,0.9993957703927493,0.9976312672720095,0.9951473136915078,0.9987393633785061,0.9988046221277727,0.990525069088038
Elsevier,Global,TDM Support,1,1,1,1,0.9999142881631954,0.9996259006847644,0.9985392779120723,0.9984492305446849,0.9989289266314743
Elsevier,Global,ORCID,0.22286589426022108,0.34075322561897015,0.4074074074074074,0.33820344460105195,0.4837576069255164,0.48564597192628617,0.6249951524709472,0.6318564534814775,0.6497590084920817
Elsevier,Global,Funder info,0.545478758822746,0.644600720678833,0.7232178414974114,0.7263570421808931,0.6470815119568012,0.43574437631138074,0.4300598508253726,0.5476131833648048,0.5107234845586923
Elsevier,Global,Open Abstracts,0.00126514848848049,0.001162385214460072,0.0013440860215053765,0.0057066244972326305,0.004028456329819148,0.002618695206649209,0.003205832546956398,0.002873484578966093,0.001428097824700992
Elsevier,Global,Open Citations,0.9786256492209349,0.9819249099151459,0.9825766626841895,0.9931933033105298,0.9935716122396503,0.9932824775133782,0.9952558849002702,0.9973363254061648,0.9924004794328412
