cr_year,jn_all,cc,cc_total,prop
2017,1050,CC BY,11,0.010476190476190476
2017,1050,CC BY-SA,0,0
2017,1050,CC BY-NC,0,0
2017,1050,CC BY-NC-SA,0,0
2017,1050,CC BY-ND,0,0
2017,1050,CC BY-NC-ND,0,0
2018,1166,CC BY,17,0.014579759862778732
2018,1166,CC BY-SA,0,0
2018,1166,CC BY-NC,0,0
2018,1166,CC BY-NC-SA,0,0
2018,1166,CC BY-ND,0,0
2018,1166,CC BY-NC-ND,0,0
2019,1082,CC BY,39,0.036044362292051754
2019,1082,CC BY-SA,0,0
2019,1082,CC BY-NC,0,0
2019,1082,CC BY-NC-SA,0,0
2019,1082,CC BY-ND,0,0
2019,1082,CC BY-NC-ND,0,0
2020,1169,CC BY,143,0.1223267750213858
2020,1169,CC BY-SA,0,0
2020,1169,CC BY-NC,0,0
2020,1169,CC BY-NC-SA,0,0
2020,1169,CC BY-ND,0,0
2020,1169,CC BY-NC-ND,3,0.0025662959794696323
2021,1299,CC BY,179,0.13779830638953042
2021,1299,CC BY-SA,0,0
2021,1299,CC BY-NC,0,0
2021,1299,CC BY-NC-SA,0,0
2021,1299,CC BY-ND,0,0
2021,1299,CC BY-NC-ND,21,0.016166281755196306
2022,1356,CC BY,246,0.18141592920353983
2022,1356,CC BY-SA,0,0
2022,1356,CC BY-NC,0,0
2022,1356,CC BY-NC-SA,0,0
2022,1356,CC BY-ND,0,0
2022,1356,CC BY-NC-ND,32,0.02359882005899705
2023,935,CC BY,142,0.1518716577540107
2023,935,CC BY-SA,0,0
2023,935,CC BY-NC,0,0
2023,935,CC BY-NC-SA,0,0
2023,935,CC BY-ND,0,0
2023,935,CC BY-NC-ND,18,0.019251336898395723
