country_name_fct,cr_year,articles,cc_total,prop
China,'17,9393,16,0.0017033961460662195
China,'18,10962,31,0.002827951103813173
China,'19,12980,51,0.003929121725731895
China,'20,16212,171,0.010547742413027387
China,'21,20573,240,0.011665775531035824
China,'22,29895,419,0.014015721692590735
China,'23,31049,469,0.01510515636574447
China,'24,43604,517,0.011856710393541877
China,'25,53844,555,0.010307555159349231
China,'26,16685,162,0.009709319748276895
United States,'17,6934,22,0.0031727718488606866
United States,'18,7059,20,0.002833262501770789
United States,'19,7367,41,0.005565359033527895
United States,'20,7558,246,0.03254829319925907
United States,'21,7829,326,0.04164005620130285
United States,'22,7986,421,0.05271725519659404
United States,'23,6580,433,0.06580547112462005
United States,'24,6486,442,0.06814677767499229
United States,'25,6798,453,0.06663724624889673
United States,'26,2017,144,0.07139315815567675
India,'17,1111,3,0.0027002700270027003
India,'18,1506,2,0.0013280212483399733
India,'19,1567,1,6.381620931716656e-4
India,'20,1982,3,0.0015136226034308778
India,'21,2311,13,0.005625270445694505
India,'22,2593,14,0.005399151561897416
India,'23,2487,22,0.008845999195818254
India,'24,2951,40,0.013554727211114876
India,'25,3063,61,0.019915115899444988
India,'26,1001,19,0.01898101898101898
South Korea,'17,1440,0,0
South Korea,'18,1553,0,0
South Korea,'19,1467,7,0.004771642808452625
South Korea,'20,1582,35,0.022123893805309734
South Korea,'21,1662,70,0.0421179302045728
South Korea,'22,1881,105,0.05582137161084529
South Korea,'23,1734,91,0.052479815455594
South Korea,'24,2140,115,0.053738317757009345
South Korea,'25,2423,137,0.05654147750722245
South Korea,'26,807,48,0.05947955390334572
Canada,'17,1343,0,0
Canada,'18,1505,4,0.0026578073089701
Canada,'19,1524,7,0.004593175853018373
Canada,'20,1728,36,0.020833333333333332
Canada,'21,1822,47,0.02579582875960483
Canada,'22,1712,62,0.036214953271028034
Canada,'23,1455,52,0.03573883161512027
Canada,'24,1496,48,0.03208556149732621
Canada,'25,1501,56,0.037308461025982675
Canada,'26,490,18,0.036734693877551024
United Kingdom,'17,1372,244,0.17784256559766765
United Kingdom,'18,1439,289,0.20083391243919388
United Kingdom,'19,1427,178,0.12473721093202522
United Kingdom,'20,1529,161,0.105297580117724
United Kingdom,'21,1640,187,0.11402439024390244
United Kingdom,'22,1704,155,0.09096244131455399
United Kingdom,'23,1388,104,0.07492795389048991
United Kingdom,'24,1506,110,0.07304116865869854
United Kingdom,'25,1608,77,0.04788557213930348
United Kingdom,'26,499,18,0.036072144288577156
Italy,'17,1230,5,0.0040650406504065045
Italy,'18,1336,16,0.011976047904191617
Italy,'19,1208,16,0.013245033112582781
Italy,'20,1351,49,0.03626943005181347
Italy,'21,1414,87,0.06152758132956153
Italy,'22,1580,266,0.16835443037974684
Italy,'23,1427,561,0.3931324456902593
Italy,'24,1605,777,0.48411214953271026
Italy,'25,1570,444,0.28280254777070063
Italy,'26,500,200,0.4
Germany,'17,1035,11,0.010628019323671498
Germany,'18,1148,18,0.0156794425087108
Germany,'19,1080,39,0.03611111111111111
Germany,'20,1182,136,0.11505922165820642
Germany,'21,1333,193,0.1447861965491373
Germany,'22,1334,257,0.1926536731634183
Germany,'23,1220,216,0.17704918032786884
Germany,'24,1266,358,0.28278041074249605
Germany,'25,1328,433,0.3260542168674699
Germany,'26,407,138,0.33906633906633904
Japan,'17,1122,2,0.0017825311942959
Japan,'18,1152,6,0.005208333333333333
Japan,'19,1163,32,0.027515047291487533
Japan,'20,1056,130,0.12310606060606061
Japan,'21,1273,229,0.17989002356637862
Japan,'22,1287,243,0.1888111888111888
Japan,'23,1267,222,0.17521704814522493
Japan,'24,1230,273,0.22195121951219512
Japan,'25,1212,321,0.26485148514851486
Japan,'26,380,101,0.2657894736842105
France,'17,1035,3,0.002898550724637681
France,'18,1017,5,0.004916420845624385
France,'19,944,3,0.0031779661016949155
France,'20,978,17,0.017382413087934562
France,'21,967,20,0.020682523267838676
France,'22,1005,34,0.03383084577114428
France,'23,903,29,0.03211517165005537
France,'24,909,43,0.047304730473047306
France,'25,863,43,0.04982618771726535
France,'26,242,12,0.049586776859504134
Australia,'17,798,5,0.006265664160401002
Australia,'18,833,5,0.006002400960384154
Australia,'19,839,4,0.004767580452920143
Australia,'20,1004,15,0.014940239043824702
Australia,'21,1079,22,0.020389249304911955
Australia,'22,1161,25,0.02153316106804479
Australia,'23,950,41,0.0431578947368421
Australia,'24,980,39,0.03979591836734694
Australia,'25,926,38,0.04103671706263499
Australia,'26,272,13,0.04779411764705882
Taiwan,'17,810,1,0.0012345679012345679
Taiwan,'18,871,1,0.001148105625717566
Taiwan,'19,780,2,0.002564102564102564
Taiwan,'20,812,13,0.01600985221674877
Taiwan,'21,910,31,0.03406593406593406
Taiwan,'22,951,37,0.03890641430073607
Taiwan,'23,893,34,0.03807390817469205
Taiwan,'24,1054,29,0.027514231499051234
Taiwan,'25,1071,38,0.035480859010270774
Taiwan,'26,319,16,0.050156739811912224
Hong Kong SAR China,'17,527,0,0
Hong Kong SAR China,'18,529,0,0
Hong Kong SAR China,'19,560,2,0.0035714285714285713
Hong Kong SAR China,'20,626,3,0.004792332268370607
Hong Kong SAR China,'21,713,9,0.012622720897615708
Hong Kong SAR China,'22,854,23,0.026932084309133488
Hong Kong SAR China,'23,776,20,0.02577319587628866
Hong Kong SAR China,'24,1150,39,0.03391304347826087
Hong Kong SAR China,'25,1364,60,0.04398826979472141
Hong Kong SAR China,'26,455,22,0.04835164835164835
Spain,'17,771,3,0.0038910505836575876
Spain,'18,814,6,0.007371007371007371
Spain,'19,759,12,0.015810276679841896
Spain,'20,772,50,0.06476683937823834
Spain,'21,817,46,0.056303549571603426
Spain,'22,731,55,0.07523939808481532
Spain,'23,655,77,0.11755725190839694
Spain,'24,673,259,0.3848439821693908
Spain,'25,714,375,0.5252100840336135
Spain,'26,201,106,0.527363184079602
Singapore,'17,627,0,0
Singapore,'18,638,2,0.003134796238244514
Singapore,'19,556,1,0.0017985611510791368
Singapore,'20,673,16,0.0237741456166419
Singapore,'21,687,18,0.026200873362445413
Singapore,'22,759,25,0.03293807641633729
Singapore,'23,705,42,0.059574468085106386
Singapore,'24,857,34,0.039673278879813305
Singapore,'25,742,22,0.029649595687331536
Singapore,'26,278,6,0.02158273381294964
Iran,'17,623,1,0.0016051364365971107
Iran,'18,777,3,0.003861003861003861
Iran,'19,763,0,0
Iran,'20,812,5,0.006157635467980296
Iran,'21,821,1,0.001218026796589525
Iran,'22,740,15,0.02027027027027027
Iran,'23,565,11,0.019469026548672566
Iran,'24,567,6,0.010582010582010581
Iran,'25,504,5,0.00992063492063492
Iran,'26,157,3,0.01910828025477707
Brazil,'17,520,1,0.0019230769230769232
Brazil,'18,611,3,0.004909983633387889
Brazil,'19,522,3,0.005747126436781609
Brazil,'20,610,5,0.00819672131147541
Brazil,'21,672,10,0.01488095238095238
Brazil,'22,560,13,0.023214285714285715
Brazil,'23,401,5,0.012468827930174564
Brazil,'24,431,18,0.04176334106728538
Brazil,'25,411,71,0.17274939172749393
Brazil,'26,112,32,0.2857142857142857
Netherlands,'17,324,4,0.012345679012345678
Netherlands,'18,369,4,0.01084010840108401
Netherlands,'19,338,7,0.020710059171597635
Netherlands,'20,394,31,0.07868020304568528
Netherlands,'21,431,50,0.11600928074245939
Netherlands,'22,470,51,0.10851063829787234
Netherlands,'23,480,73,0.15208333333333332
Netherlands,'24,443,80,0.18058690744920994
Netherlands,'25,511,93,0.18199608610567514
Netherlands,'26,128,25,0.1953125
Switzerland,'17,403,13,0.03225806451612903
Switzerland,'18,495,17,0.03434343434343434
Switzerland,'19,400,15,0.0375
