cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,1063,Crossref,11,0.010348071495766699
2017,Germany,1063,Unpaywall,29,0.027281279397930385
2018,Germany,1161,Crossref,17,0.014642549526270457
2018,Germany,1161,Unpaywall,40,0.034453057708871665
2019,Germany,1071,Crossref,39,0.036414565826330535
2019,Germany,1071,Unpaywall,45,0.04201680672268908
2020,Germany,1191,Crossref,148,0.12426532325776658
2020,Germany,1191,Unpaywall,168,0.14105793450881612
2021,Germany,1317,Crossref,199,0.15110098709187547
2021,Germany,1317,Unpaywall,256,0.19438116932422173
2022,Germany,1341,Crossref,258,0.19239373601789708
2022,Germany,1341,Unpaywall,270,0.20134228187919462
2023,Germany,1203,Crossref,226,0.18786367414796343
2023,Germany,1203,Unpaywall,222,0.18453865336658354
2024,Germany,521,Crossref,134,0.2571976967370441
2024,Germany,521,Unpaywall,125,0.2399232245681382
