cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,45590,Crossref,395,0.008664180741390656
2017,Global,45590,Unpaywall,3347,0.0734152226365431
2018,Global,48981,Crossref,510,0.010412200649231335
2018,Global,48981,Unpaywall,3660,0.0747228517180131
2019,Global,49938,Crossref,523,0.010472986503264047
2019,Global,49938,Unpaywall,3647,0.07303055789178581
2020,Global,53812,Crossref,1395,0.025923585817289825
2020,Global,53812,Unpaywall,4634,0.08611462127406526
2021,Global,60985,Crossref,2174,0.035648110191030584
2021,Global,60985,Unpaywall,4457,0.07308354513404935
2022,Global,76321,Crossref,3361,0.04403768294440587
2022,Global,76321,Unpaywall,4439,0.05816223581976127
2023,Global,57583,Crossref,3106,0.05393953076428807
2023,Global,57583,Unpaywall,2278,0.039560286890228016
