country_name_fct,cr_year,articles,cc_total,prop
China,'17,4556,91,0.01997366110623354
China,'18,4910,179,0.036456211812627294
China,'19,4968,193,0.03884863123993559
China,'20,5449,279,0.0512020554230134
China,'21,4921,304,0.06177606177606178
China,'22,4395,313,0.07121729237770194
China,'23,6328,304,0.04804045512010114
China,'24,4659,269,0.05773771195535523
China,'25,468,43,0.09188034188034189
United States,'17,5004,105,0.020983213429256596
United States,'18,4461,334,0.07487110513337816
United States,'19,3190,379,0.11880877742946709
United States,'20,4139,389,0.0939840541193525
United States,'21,3002,361,0.12025316455696203
United States,'22,3538,337,0.09525155455059356
United States,'23,3370,829,0.2459940652818991
United States,'24,1617,823,0.5089672232529375
United States,'25,242,142,0.5867768595041323
Japan,'17,2368,54,0.022804054054054054
Japan,'18,2451,113,0.046103631170950635
Japan,'19,1317,155,0.11769172361427487
Japan,'20,2164,159,0.07347504621072089
Japan,'21,1218,182,0.14942528735632185
Japan,'22,1260,163,0.12936507936507938
Japan,'23,1374,128,0.09315866084425037
Japan,'24,843,125,0.14827995255041518
Japan,'25,127,23,0.18110236220472442
India,'17,821,21,0.025578562728380026
India,'18,889,37,0.04161979752530934
India,'19,870,24,0.027586206896551724
India,'20,1172,56,0.04778156996587031
India,'21,1093,29,0.026532479414455627
India,'22,2190,21,0.009589041095890411
India,'23,1627,48,0.029502151198524892
India,'24,1425,75,0.05263157894736842
India,'25,138,7,0.050724637681159424
Germany,'17,1478,113,0.07645466847090664
Germany,'18,1362,244,0.17914831130690162
Germany,'19,1076,384,0.35687732342007433
Germany,'20,1315,494,0.37566539923954373
Germany,'21,1032,524,0.5077519379844961
Germany,'22,1101,590,0.5358764759309719
Germany,'23,1384,631,0.4559248554913295
Germany,'24,615,477,0.775609756097561
Germany,'25,81,65,0.8024691358024691
United Kingdom,'17,1099,206,0.18744313011828936
United Kingdom,'18,989,225,0.2275025278058645
United Kingdom,'19,832,190,0.2283653846153846
United Kingdom,'20,1025,466,0.45463414634146343
United Kingdom,'21,821,493,0.6004872107186358
United Kingdom,'22,818,535,0.6540342298288508
United Kingdom,'23,791,441,0.5575221238938053
United Kingdom,'24,447,374,0.8366890380313199
United Kingdom,'25,60,39,0.65
South Korea,'17,857,17,0.019836639439906652
South Korea,'18,1016,40,0.03937007874015748
South Korea,'19,708,47,0.06638418079096045
South Korea,'20,1026,40,0.03898635477582846
South Korea,'21,439,46,0.10478359908883828
South Korea,'22,614,46,0.0749185667752443
South Korea,'23,695,34,0.04892086330935252
South Korea,'24,282,31,0.1099290780141844
South Korea,'25,31,3,0.0967741935483871
France,'17,916,51,0.055676855895196505
France,'18,818,47,0.05745721271393643
France,'19,654,43,0.06574923547400612
France,'20,825,73,0.08848484848484849
France,'21,630,68,0.10793650793650794
France,'22,610,64,0.10491803278688525
France,'23,589,64,0.10865874363327674
France,'24,427,74,0.17330210772833723
France,'25,70,15,0.21428571428571427
Russia,'17,592,9,0.015202702702702704
Russia,'18,646,12,0.018575851393188854
Russia,'19,769,15,0.01950585175552666
Russia,'20,886,27,0.030474040632054177
Russia,'21,673,34,0.05052005943536404
Russia,'22,616,22,0.03571428571428571
Russia,'23,500,14,0.028
Russia,'24,449,6,0.013363028953229399
Russia,'25,95,1,0.010526315789473684
Italy,'17,760,37,0.04868421052631579
Italy,'18,616,39,0.0633116883116883
Italy,'19,556,45,0.08093525179856115
Italy,'20,719,77,0.1070931849791377
Italy,'21,532,64,0.12030075187969924
Italy,'22,498,66,0.13253012048192772
Italy,'23,559,323,0.5778175313059034
Italy,'24,398,333,0.8366834170854272
Italy,'25,30,23,0.7666666666666667
Canada,'17,524,10,0.019083969465648856
Canada,'18,561,51,0.09090909090909091
Canada,'19,408,70,0.1715686274509804
Canada,'20,804,91,0.11318407960199005
Canada,'21,382,66,0.17277486910994763
Canada,'22,556,186,0.3345323741007194
Canada,'23,491,240,0.48879837067209775
Canada,'24,255,199,0.7803921568627451
Canada,'25,42,30,0.7142857142857143
Spain,'17,433,19,0.04387990762124711
Spain,'18,374,27,0.07219251336898395
Spain,'19,304,30,0.09868421052631579
Spain,'20,347,38,0.10951008645533142
Spain,'21,325,41,0.12615384615384614
Spain,'22,279,46,0.16487455197132617
Spain,'23,328,74,0.22560975609756098
Spain,'24,191,72,0.3769633507853403
Spain,'25,17,9,0.5294117647058824
Iran,'17,271,5,0.01845018450184502
Iran,'18,284,6,0.02112676056338028
Iran,'19,303,8,0.026402640264026403
Iran,'20,360,14,0.03888888888888889
Iran,'21,264,10,0.03787878787878788
Iran,'22,220,8,0.03636363636363636
Iran,'23,281,10,0.03558718861209965
Iran,'24,205,9,0.04390243902439024
Iran,'25,25,1,0.04
Taiwan,'17,400,8,0.02
Taiwan,'18,371,27,0.07277628032345014
Taiwan,'19,234,19,0.0811965811965812
Taiwan,'20,310,29,0.0935483870967742
Taiwan,'21,232,23,0.09913793103448276
Taiwan,'22,191,14,0.07329842931937172
Taiwan,'23,283,10,0.0353356890459364
Taiwan,'24,139,63,0.45323741007194246
Taiwan,'25,19,15,0.7894736842105263
Brazil,'17,298,2,0.006711409395973154
Brazil,'18,298,7,0.02348993288590604
Brazil,'19,278,9,0.03237410071942446
Brazil,'20,334,12,0.03592814371257485
Brazil,'21,304,15,0.049342105263157895
Brazil,'22,227,8,0.03524229074889868
Brazil,'23,249,10,0.040160642570281124
Brazil,'24,162,10,0.06172839506172839
Brazil,'25,25,4,0.16
Switzerland,'17,319,65,0.20376175548589343
Switzerland,'18,265,47,0.17735849056603772
Switzerland,'19,251,58,0.23107569721115537
Switzerland,'20,314,79,0.2515923566878981
Switzerland,'21,246,85,0.34552845528455284
Switzerland,'22,269,157,0.5836431226765799
Switzerland,'23,275,167,0.6072727272727273
Switzerland,'24,194,176,0.9072164948453608
Switzerland,'25,24,21,0.875
