cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,1487,Crossref,115,0.0773369199731002
2017,Germany,1487,Unpaywall,180,0.121049092131809
2018,Germany,1345,Crossref,248,0.18438661710037174
2018,Germany,1345,Unpaywall,267,0.19851301115241635
2019,Germany,1100,Crossref,388,0.3527272727272727
2019,Germany,1100,Unpaywall,332,0.3018181818181818
2020,Germany,1303,Crossref,492,0.3775901765157329
2020,Germany,1303,Unpaywall,485,0.37221795855717577
2021,Germany,1019,Crossref,550,0.5397448478900884
2021,Germany,1019,Unpaywall,548,0.5377821393523062
2022,Germany,1098,Crossref,625,0.569216757741348
2022,Germany,1098,Unpaywall,607,0.5528233151183971
2023,Germany,1174,Crossref,677,0.5766609880749574
2023,Germany,1174,Unpaywall,672,0.5724020442930153
2024,Germany,316,Crossref,242,0.7658227848101266
2024,Germany,316,Unpaywall,256,0.810126582278481
