esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
IOP Publishing,Germany,TDM Support,1,0.6963562753036437,0.7714285714285715,1,1,1,1,1
IOP Publishing,Germany,ORCID,0.2631578947368421,0.8906882591093117,0.9038961038961039,0.8790983606557377,0.9251824817518248,0.8520900321543409,0.8300751879699249,0.9115646258503401
IOP Publishing,Germany,Funder info,0.5701754385964912,0.680161943319838,0.6233766233766234,0.6844262295081968,0.6733576642335767,0.6591639871382636,0.6225563909774436,0.6258503401360545
IOP Publishing,Germany,Open Abstracts,0.017543859649122806,0,0.5818181818181818,0.8586065573770492,0.9124087591240876,0.9887459807073955,0.9894736842105263,1
IOP Publishing,Germany,Open Citations,0.9912280701754386,1,0.9974025974025974,0.9897540983606558,0.9981751824817519,0.9951768488745981,0.98796992481203,1
IOP Publishing,Global,TDM Support,1,0.6461956521739131,0.6287367405978785,1,1,1,1,1
IOP Publishing,Global,ORCID,0.25905797101449274,0.7847826086956522,0.8621022179363549,0.8247386759581882,0.8502707868748008,0.8294687408277076,0.8232292304551949,0.8676844783715013
IOP Publishing,Global,Funder info,0.5398550724637681,0.6184782608695653,0.6162005785920925,0.6665505226480837,0.6887543803759159,0.6765482829468741,0.6480914472341294,0.5916030534351145
IOP Publishing,Global,Open Abstracts,0.014492753623188406,0.002717391304347826,0.4252651880424301,0.889198606271777,0.9101624721248806,0.9870854123862636,0.9904062053480303,0.9955470737913485
IOP Publishing,Global,Open Citations,0.9882246376811594,0.9902173913043478,0.9951783992285439,0.9923344947735192,0.9898056705957311,0.9923686527737012,0.9918350683813023,0.9974554707379135
