cr_year,jn_all,cc,cc_total,prop
2017,459,CC BY,0,0
2017,459,CC BY-SA,0,0
2017,459,CC BY-NC,0,0
2017,459,CC BY-NC-SA,0,0
2017,459,CC BY-ND,0,0
2017,459,CC BY-NC-ND,14,0.030501089324618737
2018,465,CC BY,0,0
2018,465,CC BY-SA,0,0
2018,465,CC BY-NC,0,0
2018,465,CC BY-NC-SA,0,0
2018,465,CC BY-ND,0,0
2018,465,CC BY-NC-ND,14,0.030107526881720432
2019,436,CC BY,1,0.0022935779816513763
2019,436,CC BY-SA,0,0
2019,436,CC BY-NC,0,0
2019,436,CC BY-NC-SA,0,0
2019,436,CC BY-ND,0,0
2019,436,CC BY-NC-ND,14,0.03211009174311927
2020,525,CC BY,5,0.009523809523809525
2020,525,CC BY-SA,0,0
2020,525,CC BY-NC,77,0.14666666666666667
2020,525,CC BY-NC-SA,0,0
2020,525,CC BY-ND,0,0
2020,525,CC BY-NC-ND,15,0.02857142857142857
2021,490,CC BY,35,0.07142857142857142
2021,490,CC BY-SA,0,0
2021,490,CC BY-NC,99,0.20204081632653062
2021,490,CC BY-NC-SA,0,0
2021,490,CC BY-ND,0,0
2021,490,CC BY-NC-ND,1,0.0020408163265306124
2022,356,CC BY,72,0.20224719101123595
2022,356,CC BY-SA,0,0
2022,356,CC BY-NC,37,0.10393258426966293
2022,356,CC BY-NC-SA,0,0
2022,356,CC BY-ND,0,0
2022,356,CC BY-NC-ND,0,0
2023,296,CC BY,61,0.20608108108108109
2023,296,CC BY-SA,0,0
2023,296,CC BY-NC,46,0.1554054054054054
2023,296,CC BY-NC-SA,0,0
2023,296,CC BY-ND,0,0
2023,296,CC BY-NC-ND,0,0
2024,230,CC BY,53,0.23043478260869565
2024,230,CC BY-SA,0,0
2024,230,CC BY-NC,31,0.13478260869565217
2024,230,CC BY-NC-SA,0,0
2024,230,CC BY-ND,0,0
2024,230,CC BY-NC-ND,0,0
