cr_year,cc,cc_total,jn_all,prop
2017,CC BY,10,4745,0.002107481559536354
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,1,4745,2.1074815595363542e-4
2017,CC BY-NC-SA,0,NA,0
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,175,4745,0.0368809272918862
2018,CC BY,8,4907,0.0016303240269003464
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,2,4907,4.075810067250866e-4
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,218,4907,0.04442632973303444
2019,CC BY,31,4895,0.006332992849846782
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,5,4895,0.0010214504596527069
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,207,4895,0.04228804902962206
2020,CC BY,30,4861,0.0061715696358773916
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,279,4861,0.05739559761365974
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,170,4861,0.03497222793663855
2021,CC BY,117,5218,0.02242238405519356
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,804,5218,0.1540820237638942
2021,CC BY-NC-SA,0,NA,0
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,6,5218,0.0011498658489842851
2022,CC BY,202,3945,0.05120405576679341
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,707,3945,0.17921419518377693
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,3,3945,7.604562737642585e-4
2023,CC BY,105,1350,0.07777777777777778
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,223,1350,0.16518518518518518
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,0,NA,0
