country_name_fct,cr_year,articles,cc_total,prop
United States,'17,597,21,0.035175879396984924
United States,'18,577,20,0.03466204506065858
United States,'19,621,19,0.030595813204508857
United States,'20,511,32,0.06262230919765166
United States,'21,547,85,0.15539305301645337
United States,'22,428,98,0.22897196261682243
United States,'23,176,51,0.2897727272727273
China,'17,257,2,0.007782101167315175
China,'18,347,7,0.020172910662824207
China,'19,495,11,0.022222222222222223
China,'20,483,23,0.047619047619047616
China,'21,595,98,0.16470588235294117
China,'22,426,146,0.3427230046948357
China,'23,201,70,0.3482587064676617
Germany,'17,391,13,0.03324808184143223
Germany,'18,385,13,0.033766233766233764
Germany,'19,369,13,0.03523035230352303
Germany,'20,447,85,0.19015659955257272
Germany,'21,440,143,0.325
Germany,'22,306,111,0.3627450980392157
Germany,'23,117,40,0.3418803418803419
Japan,'17,257,18,0.07003891050583658
Japan,'18,307,14,0.04560260586319218
Japan,'19,301,18,0.059800664451827246
Japan,'20,261,52,0.19923371647509577
Japan,'21,275,68,0.24727272727272728
Japan,'22,229,69,0.30131004366812225
Japan,'23,96,31,0.3229166666666667
Italy,'17,186,3,0.016129032258064516
Italy,'18,254,5,0.01968503937007874
Italy,'19,220,4,0.01818181818181818
Italy,'20,254,7,0.027559055118110236
Italy,'21,233,16,0.06866952789699571
Italy,'22,155,20,0.12903225806451613
Italy,'23,64,9,0.140625
United Kingdom,'17,111,14,0.12612612612612611
United Kingdom,'18,112,9,0.08035714285714286
United Kingdom,'19,142,18,0.1267605633802817
United Kingdom,'20,127,21,0.16535433070866143
United Kingdom,'21,100,38,0.38
United Kingdom,'22,84,44,0.5238095238095238
United Kingdom,'23,28,15,0.5357142857142857
Turkey,'17,47,0,0
Turkey,'18,84,0,0
Turkey,'19,83,0,0
Turkey,'20,137,0,0
Turkey,'21,141,5,0.03546099290780142
Turkey,'22,90,11,0.12222222222222222
Turkey,'23,45,7,0.15555555555555556
Spain,'17,93,1,0.010752688172043012
Spain,'18,103,5,0.04854368932038835
Spain,'19,107,3,0.028037383177570093
Spain,'20,99,7,0.0707070707070707
Spain,'21,127,11,0.08661417322834646
Spain,'22,60,12,0.2
Spain,'23,28,9,0.32142857142857145
Brazil,'17,106,1,0.009433962264150943
Brazil,'18,100,0,0
Brazil,'19,111,2,0.018018018018018018
Brazil,'20,100,1,0.01
Brazil,'21,100,4,0.04
Brazil,'22,70,4,0.05714285714285714
Brazil,'23,24,2,0.08333333333333333
Netherlands,'17,76,48,0.631578947368421
Netherlands,'18,119,93,0.7815126050420168
Netherlands,'19,99,84,0.8484848484848485
Netherlands,'20,89,75,0.8426966292134831
Netherlands,'21,104,84,0.8076923076923077
Netherlands,'22,80,67,0.8375
Netherlands,'23,36,32,0.8888888888888888
Switzerland,'17,76,4,0.05263157894736842
Switzerland,'18,97,5,0.05154639175257732
Switzerland,'19,91,8,0.08791208791208792
Switzerland,'20,90,34,0.37777777777777777
Switzerland,'21,103,53,0.5145631067961165
Switzerland,'22,63,45,0.7142857142857143
Switzerland,'23,28,22,0.7857142857142857
South Korea,'17,71,0,0
South Korea,'18,106,4,0.03773584905660377
South Korea,'19,95,2,0.021052631578947368
South Korea,'20,87,13,0.14942528735632185
South Korea,'21,86,22,0.2558139534883721
South Korea,'22,61,26,0.4262295081967213
South Korea,'23,23,12,0.5217391304347826
France,'17,77,0,0
France,'18,94,2,0.02127659574468085
France,'19,86,2,0.023255813953488372
France,'20,85,3,0.03529411764705882
France,'21,90,9,0.1
France,'22,66,5,0.07575757575757576
France,'23,23,4,0.17391304347826086
Canada,'17,54,0,0
Canada,'18,77,2,0.025974025974025976
Canada,'19,79,2,0.02531645569620253
Canada,'20,70,15,0.21428571428571427
Canada,'21,93,31,0.3333333333333333
Canada,'22,70,28,0.4
Canada,'23,20,10,0.5
Australia,'17,65,1,0.015384615384615385
Australia,'18,57,4,0.07017543859649122
Australia,'19,64,4,0.0625
Australia,'20,64,1,0.015625
Australia,'21,97,26,0.26804123711340205
Australia,'22,59,30,0.5084745762711864
Australia,'23,29,16,0.5517241379310345
India,'17,56,1,0.017857142857142856
India,'18,47,0,0
India,'19,58,3,0.05172413793103448
India,'20,61,0,0
India,'21,90,2,0.022222222222222223
India,'22,52,4,0.07692307692307693
India,'23,14,1,0.07142857142857142
Israel,'17,50,0,0
Israel,'18,42,0,0
Israel,'19,60,1,0.016666666666666666
Israel,'20,68,1,0.014705882352941176
Israel,'21,80,23,0.2875
Israel,'22,55,36,0.6545454545454545
Israel,'23,15,9,0.6
Iran,'17,24,0,0
Iran,'18,45,1,0.022222222222222223
Iran,'19,48,0,0
Iran,'20,46,0,0
Iran,'21,54,1,0.018518518518518517
Iran,'22,32,4,0.125
Iran,'23,11,2,0.18181818181818182
Austria,'17,35,3,0.08571428571428572
Austria,'18,43,1,0.023255813953488372
Austria,'19,56,4,0.07142857142857142
Austria,'20,43,4,0.09302325581395349
Austria,'21,41,19,0.4634146341463415
Austria,'22,32,20,0.625
Austria,'23,8,5,0.625
Sweden,'17,44,2,0.045454545454545456
Sweden,'18,37,2,0.05405405405405406
Sweden,'19,38,6,0.15789473684210525
Sweden,'20,48,31,0.6458333333333334
Sweden,'21,33,27,0.8181818181818182
Sweden,'22,38,34,0.8947368421052632
Sweden,'23,9,8,0.8888888888888888
Other,'17,486,11,0.02263374485596708
Other,'18,534,12,0.02247191011235955
Other,'19,554,21,0.03790613718411552
Other,'20,550,37,0.06727272727272728
Other,'21,662,98,0.14803625377643503
Other,'22,434,98,0.22580645161290322
Other,'23,156,37,0.23717948717948717
