cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,467,Crossref,18,0.03854389721627409
2017,Germany,467,Unpaywall,20,0.042826552462526764
2018,Germany,390,Crossref,15,0.038461538461538464
2018,Germany,390,Unpaywall,15,0.038461538461538464
2019,Germany,403,Crossref,19,0.04714640198511166
2019,Germany,403,Unpaywall,23,0.05707196029776675
2020,Germany,466,Crossref,96,0.20600858369098712
2020,Germany,466,Unpaywall,89,0.19098712446351931
2021,Germany,412,Crossref,122,0.2961165048543689
2021,Germany,412,Unpaywall,122,0.2961165048543689
2022,Germany,292,Crossref,100,0.3424657534246575
2022,Germany,292,Unpaywall,97,0.3321917808219178
2023,Germany,244,Crossref,103,0.42213114754098363
2023,Germany,244,Unpaywall,77,0.3155737704918033
2024,Germany,282,Crossref,97,0.34397163120567376
2024,Germany,282,Unpaywall,77,0.2730496453900709
2025,Germany,257,Crossref,101,0.39299610894941633
2025,Germany,257,Unpaywall,103,0.40077821011673154
2026,Germany,89,Crossref,37,0.4157303370786517
2026,Germany,89,Unpaywall,35,0.39325842696629215
