cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,4754,Crossref,186,0.03912494741270509
2017,Global,4754,Unpaywall,192,0.040387042490534285
2018,Global,4915,Crossref,227,0.046185147507629705
2018,Global,4915,Unpaywall,233,0.0474059003051882
2019,Global,4868,Crossref,244,0.05012325390304026
2019,Global,4868,Unpaywall,263,0.054026294165981925
2020,Global,4846,Crossref,486,0.10028889806025588
2020,Global,4846,Unpaywall,500,0.10317787866281469
2021,Global,5211,Crossref,926,0.17770101707925542
2021,Global,5211,Unpaywall,945,0.18134715025906736
2022,Global,3951,Crossref,944,0.23892685396102253
2022,Global,3951,Unpaywall,953,0.24120475828904075
2023,Global,3268,Crossref,994,0.30416156670746636
2023,Global,3268,Unpaywall,554,0.16952264381884946
