esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Karger,Germany,TDM Support,1,1,1,1,1,1,1,1,0.5168539325842697,0
Karger,Germany,ORCID,0.35294117647058826,0.6,0.1875,0.45263157894736844,0.5528455284552846,0.79,0.4235294117647059,0.25882352941176473,0.6741573033707865,0.7142857142857143
Karger,Germany,Funder info,0,0,0,0,0.008130081300813009,0.01,0.011764705882352941,0,0.02247191011235955,0
Karger,Germany,Open Abstracts,1,1,1,0.9894736842105263,1,0.98,0.9529411764705882,0.9647058823529412,0.9887640449438202,1
Karger,Germany,Open Citations,0.47058823529411764,0.7333333333333333,0.8125,0.9578947368421052,0.9512195121951219,0.75,0.6,0.9176470588235294,0.9438202247191011,1
Karger,Global,TDM Support,0.9292929292929293,1,1,1,1,1,1,1,0.5004821600771456,0.011111111111111112
Karger,Global,ORCID,0.29292929292929293,0.4773662551440329,0.45569620253164556,0.4794520547945205,0.6083009079118028,0.8283093053735255,0.4044265593561368,0.2839632277834525,0.6682738669238187,0.7222222222222222
Karger,Global,Funder info,0,0,0,0,0.0025940337224383916,0.00655307994757536,0.006036217303822937,0.0030643513789581204,0.006750241080038573,0
Karger,Global,Open Abstracts,0.9040404040404041,0.8930041152263375,0.9240506329113924,0.95662100456621,0.9623865110246433,0.9646133682830931,0.959758551307847,0.9642492339121552,0.9633558341369335,0.9722222222222222
Karger,Global,Open Citations,0.5454545454545454,0.45267489711934156,0.6371308016877637,0.9337899543378996,0.959792477302205,0.8112712975098296,0.6981891348088531,0.9489274770173647,0.8765670202507232,0.2833333333333333
