cr_year,jn_all,cc,cc_total,prop
2017,2898,CC BY,65,0.022429261559696344
2017,2898,CC BY-SA,0,0
2017,2898,CC BY-NC,46,0.015873015873015872
2017,2898,CC BY-NC-SA,0,0
2017,2898,CC BY-ND,0,0
2017,2898,CC BY-NC-ND,12,0.004140786749482402
2018,3090,CC BY,93,0.030097087378640777
2018,3090,CC BY-SA,0,0
2018,3090,CC BY-NC,132,0.04271844660194175
2018,3090,CC BY-NC-SA,0,0
2018,3090,CC BY-ND,0,0
2018,3090,CC BY-NC-ND,21,0.006796116504854369
2019,2106,CC BY,137,0.06505223171889839
2019,2106,CC BY-SA,0,0
2019,2106,CC BY-NC,166,0.0788224121557455
2019,2106,CC BY-NC-SA,0,0
2019,2106,CC BY-ND,0,0
2019,2106,CC BY-NC-ND,32,0.015194681861348529
2020,2222,CC BY,246,0.11071107110711072
2020,2222,CC BY-SA,0,0
2020,2222,CC BY-NC,152,0.06840684068406841
2020,2222,CC BY-NC-SA,0,0
2020,2222,CC BY-ND,0,0
2020,2222,CC BY-NC-ND,52,0.023402340234023402
2021,2262,CC BY,340,0.15030946065428824
2021,2262,CC BY-SA,0,0
2021,2262,CC BY-NC,192,0.08488063660477453
2021,2262,CC BY-NC-SA,0,0
2021,2262,CC BY-ND,0,0
2021,2262,CC BY-NC-ND,100,0.04420866489832007
2022,1958,CC BY,375,0.19152196118488254
2022,1958,CC BY-SA,0,0
2022,1958,CC BY-NC,181,0.09244126659856997
2022,1958,CC BY-NC-SA,0,0
2022,1958,CC BY-ND,0,0
2022,1958,CC BY-NC-ND,84,0.04290091930541369
2023,1113,CC BY,204,0.18328840970350405
2023,1113,CC BY-SA,0,0
2023,1113,CC BY-NC,77,0.06918238993710692
2023,1113,CC BY-NC-SA,0,0
2023,1113,CC BY-ND,0,0
2023,1113,CC BY-NC-ND,14,0.012578616352201259
