cr_year,cc,cc_total,jn_all,prop
2017,CC BY,1069,72045,0.014837948504406968
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,512,72045,0.007106669442709418
2017,CC BY-NC-SA,33,72045,4.5804705392463044e-4
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,247,72045,0.0034284127975570825
2018,CC BY,1946,72683,0.026773798549867233
2018,CC BY-SA,1,72683,1.3758375411031466e-5
2018,CC BY-NC,1236,72683,0.01700535200803489
2018,CC BY-NC-SA,12,72683,1.651005049323776e-4
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,400,72683,0.005503350164412587
2019,CC BY,2158,55505,0.038879380236014775
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,1961,55505,0.03533015043689758
2019,CC BY-NC-SA,1,55505,1.801639491937663e-5
2019,CC BY-ND,1,55505,1.801639491937663e-5
2019,CC BY-NC-ND,540,55505,0.009728853256463381
2020,CC BY,3428,61118,0.0560882227821591
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,2324,61118,0.03802480447658627
2020,CC BY-NC-SA,3,61118,4.908537583036094e-5
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,931,61118,0.015232828299355345
2021,CC BY,5264,58651,0.08975124038805818
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,2642,58651,0.04504612027075412
2021,CC BY-NC-SA,3,58651,5.115002301751036e-5
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,1283,58651,0.02187515984382193
2022,CC BY,6149,52586,0.11693226334005248
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,2931,52586,0.05573726847449892
2022,CC BY-NC-SA,1,52586,1.9016468261514472e-5
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,1481,52586,0.02816338949530293
2023,CC BY,8692,51964,0.16726964821799709
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,2894,51964,0.055692402432453235
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,1217,51964,0.02342006004156724
2024,CC BY,1282,7983,0.16059125641989228
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,262,7983,0.032819741951647254
2024,CC BY-NC-SA,0,NA,0
2024,CC BY-ND,0,NA,0
2024,CC BY-NC-ND,110,7983,0.01377928097206564
