cr_year,jn_all,cc,cc_total,prop
2017,1445,CC BY,109,0.0754325259515571
2017,1445,CC BY-SA,0,0
2017,1445,CC BY-NC,16,0.011072664359861591
2017,1445,CC BY-NC-SA,0,0
2017,1445,CC BY-ND,0,0
2017,1445,CC BY-NC-ND,0,0
2018,1367,CC BY,182,0.13313825896122897
2018,1367,CC BY-SA,0,0
2018,1367,CC BY-NC,82,0.05998536942209217
2018,1367,CC BY-NC-SA,0,0
2018,1367,CC BY-ND,0,0
2018,1367,CC BY-NC-ND,0,0
2019,1351,CC BY,210,0.15544041450777202
2019,1351,CC BY-SA,0,0
2019,1351,CC BY-NC,187,0.1384159881569208
2019,1351,CC BY-NC-SA,0,0
2019,1351,CC BY-ND,0,0
2019,1351,CC BY-NC-ND,0,0
2020,1301,CC BY,267,0.20522674865488086
2020,1301,CC BY-SA,0,0
2020,1301,CC BY-NC,186,0.14296694850115296
2020,1301,CC BY-NC-SA,0,0
2020,1301,CC BY-ND,0,0
2020,1301,CC BY-NC-ND,0,0
2021,1219,CC BY,258,0.21164889253486463
2021,1219,CC BY-SA,0,0
2021,1219,CC BY-NC,226,0.18539786710418377
2021,1219,CC BY-NC-SA,0,0
2021,1219,CC BY-ND,0,0
2021,1219,CC BY-NC-ND,0,0
2022,1094,CC BY,385,0.35191956124314444
2022,1094,CC BY-SA,0,0
2022,1094,CC BY-NC,161,0.14716636197440586
2022,1094,CC BY-NC-SA,0,0
2022,1094,CC BY-ND,0,0
2022,1094,CC BY-NC-ND,0,0
2023,783,CC BY,314,0.40102171136653897
2023,783,CC BY-SA,0,0
2023,783,CC BY-NC,97,0.12388250319284802
2023,783,CC BY-NC-SA,0,0
2023,783,CC BY-ND,0,0
2023,783,CC BY-NC-ND,0,0
