cr_year,country_name,cc_total,articles,prop
2017,United Arab Emirates,0,16,0
2017,Albania,0,3,0
2017,Angola,0,2,0
2017,Argentina,2,116,0.017241379310344827
2017,Austria,8,117,0.06837606837606838
2017,Australia,44,741,0.059379217273954114
2017,Azerbaijan,1,1,1
2017,Bosnia & Herzegovina,0,1,0
2017,Bangladesh,0,17,0
2017,Belgium,7,277,0.02527075812274368
2017,Bulgaria,2,51,0.0392156862745098
2017,Burundi,0,11,0
2017,Brunei,0,2,0
2017,Bolivia,0,2,0
2017,Brazil,5,344,0.014534883720930232
2017,Botswana,0,4,0
2017,Belarus,1,15,0.06666666666666667
2017,Canada,9,880,0.010227272727272727
2017,Congo - Kinshasa,0,1,0
2017,Switzerland,11,394,0.027918781725888325
2017,Chile,1,57,0.017543859649122806
2017,Cameroon,0,4,0
2017,China,63,10731,0.005870841487279843
2017,Colombia,1,23,0.043478260869565216
2017,Costa Rica,0,5,0
2017,Cuba,0,3,0
2017,Cyprus,1,8,0.125
2017,Czechia,26,213,0.12206572769953052
2017,Germany,125,1440,0.08680555555555555
2017,Denmark,3,123,0.024390243902439025
2017,Dominican Republic,0,1,0
2017,Algeria,0,9,0
2017,Ecuador,0,8,0
2017,Estonia,0,7,0
2017,Egypt,0,62,0
2017,Spain,32,817,0.03916768665850673
2017,Ethiopia,0,5,0
2017,Finland,6,80,0.075
2017,France,18,1091,0.016498625114573784
2017,Gabon,0,1,0
2017,United Kingdom,137,1745,0.07851002865329514
2017,Georgia,0,8,0
2017,Ghana,0,4,0
2017,Greece,1,87,0.011494252873563218
2017,Croatia,1,22,0.045454545454545456
2017,Hungary,8,78,0.10256410256410256
2017,Indonesia,0,7,0
2017,Ireland,1,108,0.009259259259259259
2017,Israel,0,117,0
2017,India,10,1710,0.005847953216374269
2017,Iraq,2,10,0.2
2017,Iran,3,314,0.009554140127388535
2017,Iceland,1,2,0.5
2017,Italy,13,622,0.02090032154340836
2017,Jordan,0,4,0
2017,Japan,20,1278,0.01564945226917058
2017,Kenya,0,2,0
2017,Cambodia,0,1,0
2017,St. Kitts & Nevis,0,1,0
2017,North Korea,0,5,0
2017,South Korea,8,1007,0.007944389275074478
2017,Kuwait,0,2,0
2017,Kazakhstan,0,3,0
2017,Lebanon,0,11,0
2017,Sri Lanka,0,4,0
2017,Lithuania,0,11,0
2017,Luxembourg,0,6,0
2017,Latvia,0,3,0
2017,Libya,0,2,0
2017,Morocco,2,29,0.06896551724137931
2017,Moldova,0,3,0
2017,Madagascar,0,1,0
2017,North Macedonia,0,12,0
2017,Mali,0,1,0
2017,Myanmar (Burma),0,4,0
2017,Mongolia,0,7,0
2017,Malta,0,5,0
2017,Mauritius,0,2,0
2017,Malawi,0,6,0
2017,Mexico,0,114,0
2017,Malaysia,0,38,0
2017,Nigeria,0,2,0
2017,Netherlands,17,320,0.053125
2017,Norway,7,92,0.07608695652173914
2017,Nepal,0,17,0
2017,New Zealand,3,70,0.04285714285714286
2017,Oman,0,1,0
2017,Peru,0,2,0
2017,French Polynesia,0,1,0
2017,Philippines,0,14,0
2017,Pakistan,2,41,0.04878048780487805
2017,Poland,48,384,0.125
2017,Portugal,4,194,0.020618556701030927
2017,Paraguay,0,1,0
2017,Qatar,0,16,0
2017,Romania,1,45,0.022222222222222223
2017,Serbia,1,38,0.02631578947368421
2017,Russia,66,459,0.1437908496732026
2017,Saudi Arabia,1,79,0.012658227848101266
2017,Sudan,0,2,0
2017,Sweden,26,222,0.11711711711711711
2017,Singapore,19,415,0.04578313253012048
2017,Slovenia,5,34,0.14705882352941177
2017,Slovakia,0,95,0
2017,San Marino,0,2,0
2017,South Sudan,1,7,0.14285714285714285
2017,Syria,0,1,0
2017,Togo,0,2,0
2017,Thailand,3,63,0.047619047619047616
2017,Tajikistan,5,16,0.3125
2017,Tunisia,0,12,0
2017,Turkey,0,102,0
2017,Taiwan,2,340,0.0058823529411764705
2017,Tanzania,0,1,0
2017,Ukraine,4,70,0.05714285714285714
2017,Uganda,0,2,0
2017,United States,59,4534,0.013012792236435818
2017,Uruguay,0,6,0
2017,Uzbekistan,1,2,0.5
2017,Venezuela,0,7,0
2017,Vietnam,0,23,0
2017,Yemen,0,1,0
2017,South Africa,3,111,0.02702702702702703
2017,Zambia,0,3,0
2017,Zimbabwe,0,1,0
2018,United Arab Emirates,0,12,0
2018,Albania,0,4,0
2018,Armenia,0,1,0
2018,Argentina,7,120,0.058333333333333334
2018,Austria,82,129,0.6356589147286822
2018,Australia,97,745,0.13020134228187918
2018,Azerbaijan,0,1,0
2018,Bosnia & Herzegovina,0,2,0
2018,Barbados,0,1,0
2018,Bangladesh,0,22,0
2018,Belgium,19,231,0.08225108225108226
2018,Bulgaria,1,34,0.029411764705882353
2018,Burundi,0,6,0
2018,Bolivia,0,3,0
