cr_year,jn_all,cc,cc_total,prop
2017,1648,CC BY,6,0.0036407766990291263
2017,1648,CC BY-SA,0,0
2017,1648,CC BY-NC,12,0.007281553398058253
2017,1648,CC BY-NC-SA,0,0
2017,1648,CC BY-ND,0,0
2017,1648,CC BY-NC-ND,2,0.0012135922330097086
2018,1604,CC BY,6,0.003740648379052369
2018,1604,CC BY-SA,0,0
2018,1604,CC BY-NC,17,0.01059850374064838
2018,1604,CC BY-NC-SA,0,0
2018,1604,CC BY-ND,0,0
2018,1604,CC BY-NC-ND,2,0.0012468827930174563
2019,1706,CC BY,30,0.017584994138335287
2019,1706,CC BY-SA,0,0
2019,1706,CC BY-NC,90,0.05275498241500586
2019,1706,CC BY-NC-SA,0,0
2019,1706,CC BY-ND,0,0
2019,1706,CC BY-NC-ND,3,0.0017584994138335288
2020,1721,CC BY,187,0.10865775711795468
2020,1721,CC BY-SA,0,0
2020,1721,CC BY-NC,218,0.12667054038349795
2020,1721,CC BY-NC-SA,0,0
2020,1721,CC BY-ND,0,0
2020,1721,CC BY-NC-ND,6,0.003486345148169669
2021,1709,CC BY,386,0.22586307782328846
2021,1709,CC BY-SA,0,0
2021,1709,CC BY-NC,343,0.20070216500877705
2021,1709,CC BY-NC-SA,0,0
2021,1709,CC BY-ND,0,0
2021,1709,CC BY-NC-ND,11,0.006436512580456407
2022,1731,CC BY,442,0.2553437319468515
2022,1731,CC BY-SA,0,0
2022,1731,CC BY-NC,360,0.20797227036395147
2022,1731,CC BY-NC-SA,1,5.777007510109763e-4
2022,1731,CC BY-ND,0,0
2022,1731,CC BY-NC-ND,5,0.0028885037550548816
2023,1649,CC BY,414,0.2510612492419648
2023,1649,CC BY-SA,0,0
2023,1649,CC BY-NC,374,0.2268041237113402
2023,1649,CC BY-NC-SA,0,0
2023,1649,CC BY-ND,0,0
2023,1649,CC BY-NC-ND,3,0.0018192844147968466
2024,1654,CC BY,438,0.26481257557436516
2024,1654,CC BY-SA,0,0
2024,1654,CC BY-NC,335,0.20253929866989118
2024,1654,CC BY-NC-SA,0,0
2024,1654,CC BY-ND,0,0
2024,1654,CC BY-NC-ND,2,0.0012091898428053204
2025,789,CC BY,57,0.07224334600760456
2025,789,CC BY-SA,0,0
2025,789,CC BY-NC,25,0.031685678073510776
2025,789,CC BY-NC-SA,0,0
2025,789,CC BY-ND,0,0
2025,789,CC BY-NC-ND,0,0
