cr_year,cc,cc_total,jn_all,prop
2017,CC BY,34,60247,5.643434527860308e-4
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,78,60247,0.0012946702740385414
2017,CC BY-NC-SA,0,NA,0
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,7,60247,1.1618835792653576e-4
2018,CC BY,85,60285,0.0014099693124326117
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,195,60285,0.0032346354814630504
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,7,60285,1.1611511984739155e-4
2019,CC BY,208,60006,0.0034663200346632004
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,708,60006,0.0117988201179882
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,5,60006,8.332500083325e-5
2020,CC BY,3944,67606,0.05833801733573943
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,2566,67606,0.03795521107594001
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,22,67606,3.254149040026033e-4
2021,CC BY,6213,65974,0.09417346227301664
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,3487,65974,0.052854154666990026
2021,CC BY-NC-SA,4,65974,6.0629945129899655e-5
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,143,65974,0.002167520538393913
2022,CC BY,6387,64786,0.09858611428395024
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,4459,64786,0.06882659833914735
2022,CC BY-NC-SA,2,64786,3.08708671626586e-5
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,123,64786,0.0018985583305035037
2023,CC BY,2230,19970,0.11166750125187781
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,1710,19970,0.085628442663996
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,43,19970,0.0021532298447671508
