country_name_fct,cr_year,articles,cc_total,prop
United States,'17,18802,23,0.001223274119774492
United States,'18,18640,34,0.0018240343347639485
United States,'19,18287,90,0.0049215289549953516
United States,'20,20188,533,0.02640182286506836
United States,'21,18981,703,0.037037037037037035
United States,'22,18869,1038,0.0550108643807303
United States,'23,13627,1292,0.09481177074924782
United Kingdom,'17,5839,30,0.0051378660729576985
United Kingdom,'18,5528,64,0.011577424023154847
United Kingdom,'19,5301,145,0.027353329560460292
United Kingdom,'20,5759,2546,0.44209064073623894
United Kingdom,'21,5656,2968,0.5247524752475248
United Kingdom,'22,5202,3016,0.5797770088427527
United Kingdom,'23,3844,2292,0.5962539021852237
China,'17,3308,2,6.045949214026602e-4
China,'18,3633,8,0.002202036884117809
China,'19,4003,15,0.0037471896077941546
China,'20,5087,81,0.01592294082956556
China,'21,5104,118,0.02311912225705329
China,'22,5896,302,0.05122116689280869
China,'23,4394,234,0.05325443786982249
Canada,'17,2498,4,0.0016012810248198558
Canada,'18,2370,7,0.002953586497890295
Canada,'19,2290,22,0.00960698689956332
Canada,'20,2737,157,0.05736207526488856
Canada,'21,2685,1621,0.6037243947858473
Canada,'22,2469,1626,0.6585662211421628
Canada,'23,1823,1219,0.6686780032912781
Australia,'17,2499,1,4.0016006402561027e-4
Australia,'18,2453,7,0.0028536485935589076
Australia,'19,2381,19,0.007979840403191937
Australia,'20,2567,138,0.053759252045188936
Australia,'21,2558,134,0.05238467552775606
Australia,'22,2364,115,0.048646362098138746
Australia,'23,1764,970,0.5498866213151927
India,'17,1729,1,5.78368999421631e-4
India,'18,1764,2,0.0011337868480725624
India,'19,1975,13,0.006582278481012658
India,'20,2617,94,0.03591899121131066
India,'21,2927,80,0.027331738981892725
India,'22,3109,96,0.03087809585075587
India,'23,2324,25,0.010757314974182444
Germany,'17,1431,4,0.002795248078266946
Germany,'18,1426,11,0.007713884992987377
Germany,'19,1467,102,0.06952965235173825
Germany,'20,1539,387,0.25146198830409355
Germany,'21,1507,730,0.48440610484406105
Germany,'22,1536,784,0.5104166666666666
Germany,'23,1145,606,0.5292576419213973
Italy,'17,1189,0,0
Italy,'18,1197,2,0.001670843776106934
Italy,'19,1204,12,0.009966777408637873
Italy,'20,1545,90,0.05825242718446602
Italy,'21,1361,91,0.0668626010286554
Italy,'22,1107,135,0.12195121951219512
Italy,'23,873,128,0.1466208476517755
Netherlands,'17,985,34,0.03451776649746193
Netherlands,'18,928,97,0.10452586206896551
Netherlands,'19,1046,289,0.2762906309751434
Netherlands,'20,1040,675,0.6490384615384616
Netherlands,'21,1054,724,0.6869070208728653
Netherlands,'22,1034,748,0.723404255319149
Netherlands,'23,818,607,0.7420537897310513
Spain,'17,729,0,0
Spain,'18,802,2,0.0024937655860349127
Spain,'19,806,5,0.00620347394540943
Spain,'20,998,43,0.04308617234468938
Spain,'21,1003,56,0.05583250249252243
Spain,'22,930,61,0.06559139784946237
Spain,'23,740,66,0.0891891891891892
Turkey,'17,551,0,0
Turkey,'18,585,1,0.0017094017094017094
Turkey,'19,728,1,0.0013736263736263737
Turkey,'20,977,14,0.014329580348004094
Turkey,'21,1109,17,0.015329125338142471
Turkey,'22,1186,50,0.04215851602023609
Turkey,'23,858,43,0.05011655011655012
Iran,'17,633,0,0
Iran,'18,649,0,0
Iran,'19,732,0,0
Iran,'20,919,11,0.011969532100108813
Iran,'21,882,11,0.012471655328798186
Iran,'22,937,43,0.04589114194236926
Iran,'23,588,24,0.04081632653061224
Japan,'17,739,0,0
Japan,'18,673,3,0.004457652303120356
Japan,'19,784,10,0.012755102040816327
Japan,'20,847,51,0.0602125147579693
Japan,'21,827,49,0.0592503022974607
Japan,'22,796,71,0.08919597989949749
Japan,'23,581,57,0.0981067125645439
France,'17,698,4,0.0057306590257879654
France,'18,732,0,0
France,'19,681,8,0.011747430249632892
France,'20,777,33,0.04247104247104247
France,'21,706,32,0.0453257790368272
France,'22,724,57,0.0787292817679558
France,'23,535,38,0.07102803738317758
Sweden,'17,712,6,0.008426966292134831
Sweden,'18,688,7,0.010174418604651164
Sweden,'19,661,25,0.037821482602118005
Sweden,'20,722,442,0.6121883656509696
Sweden,'21,704,513,0.7286931818181818
Sweden,'22,674,520,0.771513353115727
Sweden,'23,454,342,0.7533039647577092
South Korea,'17,696,0,0
South Korea,'18,692,1,0.001445086705202312
South Korea,'19,642,3,0.004672897196261682
South Korea,'20,725,11,0.015172413793103448
South Korea,'21,689,13,0.018867924528301886
South Korea,'22,581,27,0.04647160068846816
South Korea,'23,487,32,0.06570841889117043
Brazil,'17,435,0,0
Brazil,'18,444,1,0.0022522522522522522
Brazil,'19,452,1,0.0022123893805309734
Brazil,'20,683,19,0.027818448023426062
Brazil,'21,673,28,0.041604754829123326
Brazil,'22,655,29,0.044274809160305344
Brazil,'23,452,18,0.03982300884955752
Denmark,'17,468,2,0.004273504273504274
Denmark,'18,468,6,0.01282051282051282
Denmark,'19,450,11,0.024444444444444446
Denmark,'20,518,42,0.08108108108108109
Denmark,'21,529,58,0.10964083175803403
Denmark,'22,506,53,0.10474308300395258
Denmark,'23,370,66,0.1783783783783784
Israel,'17,412,0,0
Israel,'18,421,1,0.0023752969121140144
Israel,'19,424,0,0
Israel,'20,539,82,0.15213358070500926
Israel,'21,505,120,0.2376237623762376
Israel,'22,492,124,0.25203252032520324
Israel,'23,350,129,0.36857142857142855
Belgium,'17,465,0,0
Belgium,'18,462,7,0.015151515151515152
Belgium,'19,446,14,0.03139013452914798
Belgium,'20,461,30,0.0650759219088937
Belgium,'21,428,50,0.11682242990654206
Belgium,'22,413,36,0.08716707021791767
Belgium,'23,367,43,0.11716621253405994
Other,'17,6663,11,0.0016509079993996699
Other,'18,6569,32,0.00487136550464302
Other,'19,6775,130,0.01918819188191882
Other,'20,8353,899,0.10762600263378427
Other,'21,8544,1569,0.1836376404494382
Other,'22,8307,2008,0.24172384735765018
Other,'23,6360,1889,0.2970125786163522
