cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,66611,Crossref,530,0.007956643797570972
2017,Global,66611,Unpaywall,2011,0.030190208824368348
2018,Global,66924,Crossref,704,0.01051939513477975
2018,Global,66924,Unpaywall,2112,0.03155818540433925
2019,Global,67329,Crossref,1345,0.019976533143222088
2019,Global,67329,Unpaywall,2429,0.03607657918578919
2020,Global,74402,Crossref,7139,0.09595172172791054
2020,Global,74402,Unpaywall,6469,0.08694658745732642
2021,Global,74343,Crossref,10495,0.14116998237897313
2021,Global,74343,Unpaywall,8943,0.12029377345546992
2022,Global,72135,Crossref,11404,0.1580924655160463
2022,Global,72135,Unpaywall,9984,0.13840715325431482
2023,Global,69929,Crossref,14065,0.20113257732843312
2023,Global,69929,Unpaywall,13638,0.19502638390367372
2024,Global,70219,Crossref,15393,0.21921417280223301
2024,Global,70219,Unpaywall,14817,0.21101126475740184
2025,Global,73493,Crossref,17192,0.23392704067054004
2025,Global,73493,Unpaywall,16746,0.22785843549725823
2026,Global,11998,Crossref,2906,0.24220703450575096
2026,Global,11998,Unpaywall,2546,0.21220203367227872
