cr_year,jn_all,cc,cc_total,prop
2017,15208,CC BY,925,0.060823250920568124
2017,15208,CC BY-SA,0,0
2017,15208,CC BY-NC,24,0.0015781167806417674
2017,15208,CC BY-NC-SA,44,0.0028932140978432403
2017,15208,CC BY-ND,0,0
2017,15208,CC BY-NC-ND,21,0.0013808521830615465
2018,15161,CC BY,1074,0.0708396543763604
2018,15161,CC BY-SA,0,0
2018,15161,CC BY-NC,28,0.0018468438757337907
2018,15161,CC BY-NC-SA,9,5.936283886287184e-4
2018,15161,CC BY-ND,0,0
2018,15161,CC BY-NC-ND,6,3.957522590858123e-4
2019,15408,CC BY,1280,0.08307372793354102
2019,15408,CC BY-SA,0,0
2019,15408,CC BY-NC,30,0.0019470404984423676
2019,15408,CC BY-NC-SA,1,6.490134994807892e-5
2019,15408,CC BY-ND,0,0
2019,15408,CC BY-NC-ND,1,6.490134994807892e-5
2020,16903,CC BY,8525,0.5043483405312666
2020,16903,CC BY-SA,0,0
2020,16903,CC BY-NC,101,0.00597527066201266
2020,16903,CC BY-NC-SA,1,5.916109566349169e-5
2020,16903,CC BY-ND,0,0
2020,16903,CC BY-NC-ND,0,0
2021,17874,CC BY,11042,0.6177688262280407
2021,17874,CC BY-SA,0,0
2021,17874,CC BY-NC,101,0.005650665771511693
2021,17874,CC BY-NC-SA,1,5.594718585655141e-5
2021,17874,CC BY-ND,0,0
2021,17874,CC BY-NC-ND,1,5.594718585655141e-5
2022,16131,CC BY,10223,0.6337486826607154
2022,16131,CC BY-SA,0,0
2022,16131,CC BY-NC,92,0.00570330419688798
2022,16131,CC BY-NC-SA,0,0
2022,16131,CC BY-ND,0,0
2022,16131,CC BY-NC-ND,3,1.859773107680863e-4
2023,15644,CC BY,9958,0.6365379698286883
2023,15644,CC BY-SA,0,0
2023,15644,CC BY-NC,109,0.006967527486576323
2023,15644,CC BY-NC-SA,0,0
2023,15644,CC BY-ND,0,0
2023,15644,CC BY-NC-ND,7,4.4745589363334184e-4
2024,8059,CC BY,5111,0.6341977912892418
2024,8059,CC BY-SA,0,0
2024,8059,CC BY-NC,42,0.005211564710261819
2024,8059,CC BY-NC-SA,0,0
2024,8059,CC BY-ND,0,0
2024,8059,CC BY-NC-ND,10,0.0012408487405385284
