cr_year,cc,cc_total,jn_all,prop
2017,CC BY,16217,270785,0.05988884170098048
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,574,270785,0.0021197629115349815
2017,CC BY-NC-SA,625,270785,0.002308104215521539
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,498,270785,0.0018390974389275625
2018,CC BY,18477,281812,0.06556498658680254
2018,CC BY-SA,2,281812,7.096929868139043e-6
2018,CC BY-NC,703,281812,0.0024945708486508737
2018,CC BY-NC-SA,148,281812,5.251728102422891e-4
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,243,281812,8.622769789788938e-4
2019,CC BY,20743,290750,0.07134307824591574
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,851,290750,0.002926913155631986
2019,CC BY-NC-SA,23,290750,7.910576096302665e-5
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,166,290750,5.709372312983663e-4
2020,CC BY,33243,308129,0.10788663189767922
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,886,308129,0.0028754190614969704
2020,CC BY-NC-SA,20,308129,6.490787949203094e-5
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,48,308129,1.5577891078087425e-4
2021,CC BY,45256,338497,0.13369690130193176
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,1120,338497,0.0033087442429327292
2021,CC BY-NC-SA,8,338497,2.3633887449519493e-5
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,23,338497,6.794742641736854e-5
2022,CC BY,50863,342374,0.14855976213147026
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,1078,342374,0.003148603573869511
2022,CC BY-NC-SA,3,342374,8.762347608171182e-6
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,168,342374,4.906914660575861e-4
2023,CC BY,49207,275791,0.17842134079792307
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,1004,275791,0.0036404378678056935
2023,CC BY-NC-SA,1,275791,3.6259341312805713e-6
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,240,275791,8.702241915073371e-4
