country_name_fct,cr_year,articles,cc_total,prop
China,'17,36932,862,0.023340192786743204
China,'18,41139,1145,0.0278324704052116
China,'19,45191,1428,0.031599212232524175
China,'20,49305,1746,0.035412229996957714
China,'21,57167,2595,0.045393321321741564
China,'22,67139,3258,0.04852619193017471
China,'23,43892,2558,0.05827941310489383
United States,'17,35269,1674,0.04746377838895347
United States,'18,35909,1784,0.04968113843326186
United States,'19,36568,1928,0.05272369284620433
United States,'20,38165,2362,0.061889165465740865
United States,'21,39185,4037,0.10302411637106035
United States,'22,37812,4580,0.12112556860256003
United States,'23,23629,3745,0.1584916839476914
Russia,'17,20285,62,0.0030564456494947007
Russia,'18,21351,64,0.0029975176806706946
Russia,'19,21363,83,0.0038852221129991107
Russia,'20,20770,112,0.005392392874337988
Russia,'21,19537,503,0.0257460203716026
Russia,'22,19186,688,0.03585948087146878
Russia,'23,9095,314,0.03452446399120396
India,'17,12798,230,0.017971558055946243
India,'18,14011,152,0.010848618942259653
India,'19,15518,127,0.00818404433561026
India,'20,18704,175,0.0093562874251497
India,'21,23675,365,0.015417106652587118
India,'22,25416,407,0.016013534781240162
India,'23,18397,338,0.0183725607435995
Germany,'17,16023,1066,0.06652936403919366
Germany,'18,16158,1197,0.07408095061269959
Germany,'19,16418,1390,0.08466317456450237
Germany,'20,18297,8824,0.4822648521615565
Germany,'21,18822,11398,0.6055679523961321
Germany,'22,15031,10358,0.6891091743729626
Germany,'23,9512,6825,0.7175147182506307
United Kingdom,'17,8281,3816,0.4608139113633619
United Kingdom,'18,8892,4069,0.45760233918128657
United Kingdom,'19,9556,4372,0.45751360401841773
United Kingdom,'20,10070,4692,0.46593843098311816
United Kingdom,'21,10663,5400,0.506424083278627
United Kingdom,'22,9866,5342,0.5414555037502534
United Kingdom,'23,6188,3429,0.5541370394311571
Japan,'17,7873,568,0.07214530674457005
Japan,'18,8128,677,0.08329232283464567
Japan,'19,8320,742,0.08918269230769231
Japan,'20,8952,979,0.10936103663985701
Japan,'21,9647,1419,0.14709236031927023
Japan,'22,9252,1363,0.14731949848681367
Japan,'23,5738,1155,0.20128964796096202
Iran,'17,7195,223,0.030993745656706047
Iran,'18,7457,169,0.022663269411291403
Iran,'19,8307,177,0.021307331166486095
Iran,'20,8818,106,0.012020866409616693
Iran,'21,9827,115,0.011702452426986873
Iran,'22,9759,142,0.01455067117532534
Iran,'23,5835,111,0.019023136246786632
Italy,'17,6932,380,0.054818234275822275
Italy,'18,7318,378,0.051653457228751025
Italy,'19,7510,441,0.05872170439414114
Italy,'20,9122,2107,0.23098004823503618
Italy,'21,8694,3909,0.44962042788129747
Italy,'22,8451,4233,0.5008874689385872
Italy,'23,5398,2921,0.5411263430900334
Brazil,'17,4830,169,0.03498964803312629
Brazil,'18,5278,138,0.02614626752557787
Brazil,'19,5618,139,0.02474190103239587
Brazil,'20,6950,125,0.017985611510791366
Brazil,'21,7637,172,0.02252193269608485
Brazil,'22,6776,172,0.02538370720188902
Brazil,'23,4219,138,0.032709172789760606
South Korea,'17,6062,180,0.029693170570768722
South Korea,'18,6203,208,0.033532161857165885
South Korea,'19,6131,222,0.03620942749959224
South Korea,'20,5745,213,0.037075718015665796
South Korea,'21,5477,309,0.056417746941756435
South Korea,'22,5367,309,0.05757406372275014
South Korea,'23,3436,224,0.06519208381839348
Canada,'17,5334,261,0.048931383577052866
Canada,'18,5351,323,0.060362549056251165
Canada,'19,5494,294,0.05351292318893338
Canada,'20,5948,438,0.07363819771351715
Canada,'21,6053,567,0.09367255906162233
Canada,'22,5829,709,0.12163321324412421
Canada,'23,3709,551,0.14855756268535994
France,'17,5101,256,0.05018623799255048
France,'18,5183,243,0.0468840439899672
France,'19,5072,290,0.05717665615141956
France,'20,5362,371,0.06919060052219321
France,'21,5755,582,0.10112945264986968
France,'22,5537,607,0.10962615134549394
France,'23,3421,441,0.12890967553346974
Turkey,'17,3319,42,0.012654413980114493
Turkey,'18,3607,40,0.011089548100914887
Turkey,'19,4194,41,0.00977587029089175
Turkey,'20,5481,62,0.011311804415252692
Turkey,'21,6646,85,0.0127896479085164
Turkey,'22,6984,74,0.010595647193585338
Turkey,'23,4742,73,0.015394348376212568
Australia,'17,4483,255,0.05688155253178675
Australia,'18,4597,280,0.06090928866652164
Australia,'19,4664,310,0.06646655231560893
Australia,'20,4854,322,0.06633704161516275
Australia,'21,5267,469,0.08904499715207899
Australia,'22,5008,2993,0.5976437699680511
Australia,'23,3163,2234,0.7062914954157445
Spain,'17,4256,234,0.0549812030075188
Spain,'18,4156,243,0.05846968238691049
Spain,'19,4235,254,0.05997638724911452
Spain,'20,4404,309,0.07016348773841961
Spain,'21,4743,1339,0.28231077377187436
Spain,'22,4497,2445,0.5436957971981321
Spain,'23,3158,2002,0.6339455351488283
Netherlands,'17,3159,1972,0.6242481798037354
Netherlands,'18,3265,2061,0.631240428790199
Netherlands,'19,3144,1988,0.6323155216284987
Netherlands,'20,3331,2235,0.6709696787751426
Netherlands,'21,3522,2363,0.6709256104486088
Netherlands,'22,3515,2367,0.6733997155049787
Netherlands,'23,2298,1703,0.7410791993037423
Egypt,'17,1704,30,0.017605633802816902
Egypt,'18,2048,38,0.0185546875
Egypt,'19,2270,57,0.025110132158590308
Egypt,'20,2814,77,0.02736318407960199
Egypt,'21,3194,84,0.026299311208515967
Egypt,'22,3228,1559,0.4829615861214374
Egypt,'23,2165,1279,0.5907621247113164
Poland,'17,2756,1874,0.6799709724238027
Poland,'18,2788,2044,0.733142037302726
Poland,'19,2772,2055,0.7413419913419913
Poland,'20,2520,2024,0.8031746031746032
Poland,'21,2362,1873,0.7929720575783235
Poland,'22,2022,1095,0.5415430267062314
Poland,'23,1336,1168,0.874251497005988
Switzerland,'17,2231,204,0.09143881667413715
Switzerland,'18,2140,232,0.10841121495327102
Switzerland,'19,2331,273,0.11711711711711711
Switzerland,'20,2404,821,0.3415141430948419
Switzerland,'21,2566,1545,0.6021044427123928
Switzerland,'22,2372,1519,0.6403878583473862
Switzerland,'23,1447,1048,0.7242570836212854
Other,'17,39098,3930,0.10051665046805464
Other,'18,40750,4519,0.11089570552147239
Other,'19,41984,5705,0.13588509908536586
